D=0.0 mm/w,D=0.25 mm/w,D=0.5 mm/w,D=0.75 mm/w,D=1.0 mm/w
65.52217660132624,53.1752743631805,44.05844014507426,38.224180920480016,34.28634332486752
65.50947441708064,53.1669338977958,44.05503424734507,38.222917332499385,34.285890161631826
65.49676245814884,53.158537030799785,44.05160451787808,38.221645672431,34.28543457009317
65.48404113606527,53.1500841499813,44.048151107569566,38.22036599448087,34.28497656877286
65.47131086141694,53.1415756439275,44.04467416762382,38.219078352926566,34.28451617619941
65.45857204383276,53.13301190200488,44.04117384954716,38.21778280211553,34.284053410908015
65.44582509197318,53.12439331434031,44.037650305141966,38.21647939646324,34.283588291440026
65.43307041351973,53.115720271802246,44.03410368650079,38.21516819045146,34.28312083634242
65.42030841516484,53.10699316598182,44.030534146000335,38.21384923862649,34.282651064167275
65.40753950260162,53.09821238917412,44.02694183629563,38.21252259559737,34.28217899347124
65.39476408051385,53.089378334359466,44.02332691031405,38.21118831603415,34.28170464281502
65.38198255256599,53.08049139518472,44.01968952124946,38.209846454666135,34.28122803076285
65.36919532139333,53.07155196594473,44.01602982255632,38.2084970662801,34.280749175881965
65.35640278859229,53.06256044156373,44.01234796794378,38.2071402057186,34.28026809674211
65.34360535471068,53.05351721757691,44.00864411136988,38.20577592787816,34.279784811915
65.33080341923821,53.04442269011192,44.00491840703565,38.2044042877076,34.27929933997381
65.31799738059705,53.03527725587053,44.0011710093793,38.20302534020628,34.27881169949267
65.30518763613243,53.02608131211035,43.997402073070376,38.20163914042233,34.27832190904614
65.29237458210343,53.01683525662652,43.993611753004,38.20024574345098,34.27782998720871
65.27955861367384,53.00753948773358,43.98980020429501,38.19884520443281,34.2773359525543
65.26674012490307,52.99819440424732,43.98596758227224,38.197437578552034,34.27683982365574
65.25391950873721,52.98880040546672,43.98211404247272,38.1960229210348,34.27634161908427
65.24109715700023,52.979357891156006,43.97823974063592,38.19460128714746,34.27584135740903
65.22827346038517,52.96986726152667,43.97434483269805,38.19317273219489,34.275339057196575
65.2154488084455,52.96032891721966,43.97042947478627,38.19173731151876,34.27483473701037
65.20262358958661,52.95074325928756,43.96649382321306,38.19029508049586,34.274328415410295
65.18979819105726,52.9411106891769,43.96253803447049,38.188846094536416,34.27382011095212
65.17697299894134,52.9314316087105,43.95856226522453,38.18739040908239,34.27330984218707
65.1641483981495,52.92170642006991,43.95456667230941,38.1859280796058,34.27279762766127
65.15132477241109,52.91193552577787,43.95055141272196,38.18445916160704,34.2722834859153
65.13850250426596,52.902119328680925,43.946516643616015,38.18298371061321,34.27176743548369
65.12568197505662,52.89225823193205,43.942462522296765,38.18150178217646,34.27124949489442
65.11286356492032,52.88235263897339,43.93838920621516,38.180013431872325,34.27072968266846
65.1000476527812,52.87240295351899,43.934296852962376,38.17851871529805,34.27020801731928
65.08723461634273,52.862409579537776,43.93018562026418,38.17701768807094,34.26968451735235
65.07442483208003,52.8523729212364,43.926055665975454,38.175510405826735,34.2691592012647
65.0616186752324,52.84229338304231,43.921907148074624,38.17399692421795,34.26863208754439
65.04881651979593,52.83217136958688,43.91774022465817,38.17247729891225,34.26810319467007
65.03601873851622,52.82200728568855,43.91355505393511,38.17095158559078,34.26757254111051
65.02322570288109,52.81180153633611,43.90935179422157,38.169419839946585,34.26704014532411
65.01043778311353,52.80155452667205,43.90513060393528,38.16788211768297,34.26650602575843
64.99765534816466,52.79126666197597,43.90089164159016,38.16633847451188,34.265970200849736
64.98487876570678,52.780938347648096,43.896635065790896,38.164788966152265,34.26543268902253
64.97210840212654,52.77056998919288,43.89236103522752,38.16323364832853,34.26489350868908
64.95934462251819,52.760161992202654,43.88806970867008,38.16167257676888,34.26435267824894
64.94658779067693,52.74971476234141,43.8837612449632,38.16010580720374,34.26381021608854
64.93383826909232,52.73922870532864,43.87943580302081,38.15853339536418,34.263266140580676
64.92109641894181,52.72870422692322,43.875093541820775,38.15695539698032,34.26272047008408
64.90836260008439,52.7181417329075,43.87073462039959,38.15537186777972,34.26217322294298
64.89563717105423,52.70754162907132,43.86635919784712,38.153782863485866,34.26162441748658
64.88292048905454,52.69690432119628,43.86196743330131,38.15218843981655,34.2610740720287
64.87021290995138,52.686230215039934,43.85755948594296,38.15058865248233,34.26052220486726
64.85751478826768,52.67551971632022,43.85313551499046,38.14898355718495,34.25996883428385
64.8448264771773,52.66477323069984,43.84869567969464,38.14737320961583,34.25941397854333
64.83214832849916,52.65399116377089,43.844240139333536,38.14575766545448,34.2588576558933
64.81948069269143,52.64317392103938,43.83976905320724,38.14413698036696,34.25829988456374
64.80682391884592,52.63232190791005,43.83528258063276,38.14251121000437,34.25774068276652
64.79417835468247,52.62143552967112,43.8307808809389,38.14088041000132,34.257180068694986
64.78154434654341,52.61051519147919,43.82626411346116,38.13924463597435,34.256618060523536
64.76892223938816,52.59956129834427,43.82173243753662,38.1376039435205,34.256054676407146
64.75631237678787,52.58857425511484,43.81718601249892,38.13595838821573,34.255489934480984
64.74371510092021,52.57755446646302,43.81262499767322,38.13430802561343,34.25492385285995
64.73113075256416,52.56650233686983,43.80804955237114,38.132652911242936,34.25435644963828
64.71855967109491,52.55541827061057,43.8034598358858,38.130993100608016,34.253787742889074
64.70600219447891,52.54430267174028,43.79885600748687,38.1293286491854,34.253217750663914
64.69345865926893,52.533155944079226,43.79423822641554,38.12765961242328,34.25264649099243
64.68092940059918,52.521978491198645,43.78960665187966,38.12598604573983,34.252073981881885
64.66841475218062,52.51077071640639,43.78496144304881,38.12430800452176,34.25150024131674
64.65591504629624,52.4995330227328,43.780302759049405,38.122625544122826,34.250925287258276
64.64343061379648,52.48826581291661,43.77563075895984,38.12093871986239,34.25034913764414
64.63096178409471,52.476969489391,43.77094560180565,38.119247587023935,34.24977181038797
64.61850888516278,52.46564445426967,43.76624744655468,38.11755220085367,34.24919332337895
64.60607224352673,52.4542911093331,43.7615364521123,38.11585261655905,34.24861369448143
64.59365218426242,52.4429098560148,43.75681277731664,38.114148889307344,34.24803294153452
64.58124903099143,52.43150109538778,43.75207658093382,38.11244107422422,34.24745108235169
64.56886310587684,52.420065228151,43.74732802165323,38.11072922639232,34.246868134720344
64.55649472961927,52.40860265461598,43.74256725808284,38.10901340084984,34.246284116401455
64.54414422145288,52.39711377469354,43.7377944487445,38.10729365258913,34.24569904512914
64.53181189914149,52.385598987880506,43.73300975206929,38.10557003655527,34.2451129386103
64.51949807897475,52.374058693246695,43.72821332639288,38.1038426076447,34.24452581452419
64.50720307576442,52.36249328942184,43.72340532995094,38.10211142070381,34.24393769052205
64.49492720284071,52.350903174582704,43.71858592087453,38.10037653052757,34.24334858422673
64.48267077204869,52.339288746440246,43.713755257185525,38.098637991858126,34.24275851323227
