D=0.0 mm/w,D=0.25 mm/w,D=0.5 mm/w,D=0.75 mm/w,D=1.0 mm/w
2.035566958361652,2.0361778636592445,2.039304824563619,2.0464652052443086,2.058396697153275
2.0555468645535977,2.0562029855695663,2.0595666749508603,2.0672481747252944,2.080008762478426
2.0748884747987,2.075591513825625,2.079202517839616,2.087426771850036,2.1010474938554644
2.093610468421371,2.0943620884654908,2.098231075467502,2.107019802162729,2.121531605802877
2.111730960810535,2.112532779219308,2.116670487636209,2.1260454660647685,2.1414791754329885
2.129267530093636,2.130121112152489,2.134538338514298,2.144521386335981,2.160907671629713
2.146237241945381,2.147144094453769,2.1518516816066624,2.162464633848575,2.179833982421244
2.162656672696156,2.163618237532688,2.168627063053948,2.1798917516340763,2.1982744407034676
2.178541930887856,2.179559578573881,2.1848805434080587,2.196818777446613,2.216244848453471
2.1939086774096808,2.1949837006803765,2.2006277180148275,2.2132612649510084,2.2337604995581115
2.208772144333067,2.209905751724752,2.2158837361215697,2.2292343036510838,2.2508362013699625
2.2231471525531417,2.224340462015173,2.230663318815545,2.2447525376619986,2.2674862950917882
2.2370481283335657,2.238302160872887,2.244980775888904,2.2598301834202377,2.283724675080844
2.250489118842368,2.2518047922084463,2.258850021716481,2.2744810464157776,2.2995648071555754
2.263483806758086,2.26486192917568,2.2722845902245785,2.2887185370229477,2.315019745979553
2.2760455240181643,2.277486787975064,2.285297649021576,2.302555685499302,2.3301021515906064
2.2881872647749755,2.289692240871575,2.297902012754672,2.316005156215476,2.344824305136998
2.299921697618943,2.301490828486221,2.3101101557512305,2.329079261173251,2.359198123877023
2.3112611771229656,2.31289477141518,2.32193422399797,2.3417899728640044,2.3732351754935403
2.32221775475761,2.323915981225744,2.333386046506562,2.3541489365151045,2.386946691770571
2.3328031892222696,2.334566070874027,2.3444771461099685,2.366167481767746,2.400343581675196
2.343028956233664,2.344856364585529,2.355218749730075,2.377856633826004,2.413436443884456
2.3529062578095723,2.3547979072362426,2.3656217981537497,2.3892271241135887,2.426235578793807
2.3624460310825985,2.364401473268828,2.375696955351367,2.400289400471779,2.43875100004082
2.371658956675889,2.3736775751755816,2.385454617369057,2.4110536369293145,2.4509924455752645
2.3805554666702164,2.382636471577351,2.394904920823405,2.4215297430725777,2.462969388304363
2.3891457521894672,2.391288174925247,2.404057751025038,2.431727373042204,2.4746910463399288
2.397439770629489,2.399642458849869,2.4129227497554626,2.441655934180228,2.4861663928721702
