time,value_R
48.88,42.98934846571506
48.89,42.949829069669185
48.9,42.910349158263095
48.91,42.87090876803323
48.92,42.83150793507468
48.93,42.79214669504308
48.94,42.75282508315654
48.95,42.71354313419753
48.96,42.6743008825148
48.97,42.63509836202524
48.98,42.59593560621577
48.99,42.55681264814521
49.0,42.51772952044616
49.01,42.478686255326835
49.02,42.439682884572925
49.03,42.40071943954945
49.04,42.361795951202566
49.05,42.322912450061445
49.06,42.28406896624004
49.07,42.24526552943896
49.08,42.20650216894723
49.09,42.16777891364413
49.1,42.12909579200097
49.11,42.090452832082896
49.12,42.051850061550674
49.13,42.013287507662454
49.14,41.974765197275566
49.15,41.93628315684826
49.16,41.8978414124415
49.17,41.859439989720684
49.18,41.821078913957415
49.19,41.78275821003123
49.2,41.74447790243136
49.21,41.70623801525844
49.22,41.668038572226244
49.23,41.6298795966634
49.24,41.591761111515126
49.25,41.553683139344905
49.26,41.51564570233622
49.27,41.47764882229424
49.28,41.43969252064752
49.29,41.40177681844968
49.3,41.3639017363811
49.31,41.326067294750594
49.32,41.28827351349708
49.33,41.25052041219125
49.34,41.21280801003724
49.35,41.17513632587429
49.36,41.13750537817838
49.37,41.0999151850639
49.38,41.06236576428528
49.39,41.02485713323865
49.4,40.98738930896343
49.41,40.94996230814402
49.42,40.912576147111395
49.43,40.8752308418447
49.44,40.837926407972915
49.45,40.80066286077645
49.46,40.76344021518873
49.47,40.72625848579783
49.48,40.68911768684805
49.49,40.65201783224153
49.5,40.61495893553983
49.51,40.5779410099655
49.52,40.54096406840368
49.53,40.50402812340368
49.54,40.46713318718054
49.55,40.43027927161662
49.56,40.39346638826312
49.57,40.3566945483417
49.58,40.31996376274598
49.59,40.28327404204313
49.6,40.246625396475416
49.61,40.210017835961715
49.62,40.17345137009909
49.63,40.13692600816429
49.64,40.10044175911532
49.65,40.06399863159294
49.66,40.02759663392221
49.67,39.99123577411398
49.68,39.954916059866456
49.69,39.91863749856665
49.7,39.882400097291956
49.71,39.846203862811585
49.72,39.81004880158812
49.73,39.77393491977898
49.74,39.73786222323794
49.75,39.7018307175166
49.76,39.66584040786587
49.77,39.62989129923748
49.78,39.5939833962854
49.79,39.55811670336739
49.8,39.52229122454639
49.81,39.48650696359207
49.82,39.450763923982215
49.83,39.41506210890424
49.84,39.37940152125661
49.85,39.343782163650324
49.86,39.30820403841033
49.87,39.272667147576996
49.88,39.237171492907535
49.89,39.20171707587745
49.9,39.16630389768195
49.91,39.13093195923742
49.92,39.09560126118281
49.93,39.060311803881056
49.94,39.02506358742053
49.95,38.98985661161644
49.96,38.95469087601221
49.97,38.91956637988094
49.98,38.88448312222678
49.99,38.84944110178635
50.0,38.8144403170301
50.01,38.779480766163736
50.02,38.74456244712962
50.03,38.709685357608116
50.04,38.674849495019004
50.05,38.64005485652285
50.06,38.605301439022384
50.07,38.57058923916385
50.08,38.535918253338416
50.09,38.5012884776835
50.1,38.46669990808416
50.11,38.43215254017442
50.12,38.39764636933866
50.13,38.36318139071293
50.14,38.328757599186325
50.15,38.294374989402314
50.16,38.26003355576009
50.17,38.22573329241588
50.18,38.191474193284314
50.19,38.157256252039716
50.2,38.12307946211747
50.21,38.08894381671529
50.22,38.0548493087946
50.23,38.020795931081786
50.24,37.98678367606954
50.25,37.95281253601817
50.26,37.91888250295689
50.27,37.884993568685125
50.28,37.8511457247738
50.29,37.817338962566645
50.3,37.78357327318146
50.31,37.74984864751144
50.32,37.71616507622642
50.33,37.682522549774156
50.34,37.64892105838162
50.35,37.61536059205625
50.36,37.58184114058724
50.37,37.54836269354676
50.38,37.51492524029126
50.39,37.481528769962715
50.4,37.44817327148985
50.41,37.41485873358942
50.42,37.381585144767435
50.43,37.34835249332042
50.44,37.31516076733663
50.45,37.28200995469729
50.46,37.24890004307783
50.47,37.21583101994913
50.48,37.18280287257869
50.49,37.1498155880319
50.5,37.11686915317322
50.51,37.08396355466741
50.52,37.051098778980744
50.53,37.01827481238219
50.54,36.985491640944616
50.55,36.95274925054601
50.56,36.92004762687064
50.57,36.88738675541026
50.58,36.8547666214653
50.59,36.822187210146026
50.6,36.78964850637373
50.61,36.75715049488191
50.62,36.724693160217434
50.63,36.69227648674169
50.64,36.65990045863178
50.65,36.627565059881654
50.66,36.59527027430327
50.67,36.56301608552774
50.68,36.5308024770065
50.69,36.49862943201243
50.7,36.46649693364098
50.71,36.43440496481135
