time,value_H
1.13,32.09243447360623
1.14,32.57758028245141
1.15,33.06609684407649
1.16,33.557999844164996
1.17,34.05330573938189
1.18,34.552031770623124
1.19,35.05419597639487
1.2,35.559817206321355
1.21,36.06891513478081
1.22,36.58151027466972
1.23,37.097623991295976
1.24,37.617278516402315
1.25,38.14049696232175
1.26,38.66730333626738
1.27,39.19772255475954
1.28,39.7317804581935
1.29,40.269503825551865
1.3,40.81092038926583
1.31,41.35605885023034
1.32,41.90494889297846
1.33,42.45762120102081
1.34,43.014107472356294
1.35,43.57444043516099
1.36,44.13865386366225
1.37,44.706782594205755
1.38,45.27886254152353
1.39,45.854930715211374
1.4,46.43502523642472
1.41,47.01918535480208
1.42,47.60745146562597
1.43,48.19986512723127
1.44,48.79646907867169
1.45,49.39730725765517
1.46,50.00242481875954
1.47,50.611868151940165
1.48,51.22568490134158
1.49,51.843923984425686
1.5,52.46663561142921
1.51,53.09387130516378
1.52,53.725683921172084
1.53,54.36212766825416
1.54,55.00325812937814
1.55,55.64913228299013
1.56,56.29980852473837
1.57,56.955346689627085
1.58,57.615808074615934
1.59,58.28125546168121
1.6,58.95175314135547
1.61,59.62736693676249
1.62,60.30816422816505
1.63,60.99421397804316
1.64,61.68558675672108
1.65,62.38235476856145
1.66,63.08459187874575
1.67,63.79237364066029
1.68,64.50577732390757
1.69,65.22488194296326
1.7,65.9497682864994
1.71,66.68051894739489
1.72,67.4172183534548
1.73,68.15995279886056
1.74,68.90881047637323
1.75,69.66388151031306
1.76,70.42525799033845
1.77,71.19303400604834
1.78,71.96730568243234
1.79,72.74817121619347
1.8,73.53573091296892
1.81,74.33008722547474
1.82,75.13134479260104
1.83,75.93961047948447
1.84,76.75499341858588
1.85,77.57760505180119
1.86,78.40755917363413
1.87,79.2449719754605
1.88,80.08996209091374
1.89,80.94265064242248
1.9,81.80316128893143
1.91,82.67162027483757
1.92,83.54815648017407
1.93,84.43290147207566
1.94,85.32598955755903
1.95,86.22755783765339
1.96,87.13774626291656
1.97,88.05669769037273
1.98,88.98455794190917
1.99,89.92147586416957
2.0,90.8676033899825
2.01,91.82309560136487
2.02,92.78811079414005
2.03,93.76281054421236
2.04,94.74735977553951
2.05,95.7419268298461
2.06,96.74668353812176
2.07,97.76180529394875
2.08,98.78747112870448
2.09,99.82386378868553
2.1,100.87116981420058
2.11,101.92957962068071
2.12,102.99928758185638
2.13,104.08049211505147
2.14,105.17339576864569
2.15,106.27820531175767
2.16,107.39513182620206
2.17,108.52439080077485
2.18,109.66620222792233
2.19,110.82079070284982
2.2,111.98838552512771
2.21,113.16922080285272
2.22,114.36353555942405
2.23,115.57157384299434
2.24,116.79358483865683
2.25,118.02982298343078
2.26,119.28054808410829
2.27,120.54602543802652
2.28,121.82652595683011
2.29,123.12232629328959
2.3,124.43370897124237
2.31,125.76096251872353
2.32,127.10438160435456
2.33,128.46426717705873
2.34,129.84092660917253
2.35,131.2346738430231
2.36,132.64582954104193
2.37,134.07472123948597
2.38,135.52168350583693
2.39,136.98705809995067
2.4,138.47119413902772
2.41,139.9744482664767
2.42,141.4971848247423
2.43,143.0397760321686
2.44,144.60260216396878
2.45,146.18605173737168
2.46,147.79052170101426
2.47,149.41641762864893
2.48,151.06415391723326
2.49,152.7341539894681
2.5,154.42685050084867
2.51,156.14268555129155
2.52,157.882110901398
2.53,159.64558819341198
2.54,161.43358917692836
2.55,163.24659593940353
2.56,165.0851011415177
2.57,166.94960825743368
2.58,168.84063181999332
2.59,170.75869767088744
2.6,172.70434321583045
2.61,174.67811768476463
2.62,176.68058239711308
2.63,178.7123110320935
2.64,180.77388990409725
