D=0.0 (mm/w),D=0.1 (mm/w),D=0.2 (mm/w),D=0.3 (mm/w),D=0.4 (mm/w),D=0.5 (mm/w),D=0.6 (mm/w),D=0.7 (mm/w),D=0.8 (mm/w),D=0.9 (mm/w),D=1.0 (mm/w)
648.5377253241221,643.7955789205872,639.2924531229218,635.0079244395217,630.9236513266496,627.0231489899621,623.2915891671529,619.7156220879294,616.283218123519,612.9835269183353,609.806752045246
657.4269569410461,652.4037822063145,647.6390406421597,643.1102023172775,638.7970808068414,634.6815744737427,630.7474370500937,626.980074160383,623.3663628144012,619.8944912403252,616.5538167311515
666.4726450883229,661.1570200188013,656.1204323385148,651.3380728484066,646.7877644356109,642.4496656347104,638.3060084479704,634.3408664158083,630.5399494001412,626.8904219592613,623.38074255991
675.6757403090545,670.0559564574936,664.7370578201659,659.6917722887391,654.8957776683297,650.3273628862985,645.9671291379658,641.7977262010631,637.8036197230473,633.9708857890499,630.2870295213293
685.037227470627,679.1012853733858,673.4893733808178,668.1715615315862,663.1212192196102,658.3146289495447,653.7306465141629,649.3504019409701,645.1570362476022,641.1354696529961,637.2721974242389
694.558125049413,688.2937295718218,682.3778611512662,676.7777252235268,671.464210150045,666.4114479130141,661.5964286210251,656.9986621454321,652.5998810418106,648.3837796408446,644.3357848315958
704.2394845094364,697.6340401068497,691.4030283408648,685.51057096884,679.9248930405779,674.6178243795373,669.5643632730834,664.7422945023596,660.1318548441827,655.7154400514889,651.4773480814732
714.0823897704951,707.1229956623847,700.5654065639509,694.3704286174697,688.5034312492455,682.9337826943802,677.6343572553275,672.5811050508016,667.7526762106487,663.1300925155524,658.6964603880522
724.0879567616317,716.761402015832,709.8655512466879,703.3576496318166,697.2000082454482,691.3593662498778,685.8063355992327,680.5149174291179,675.4620807361537,670.6273951925076,665.9927110171955
734.2573330562059,726.5500915801874,719.304041110154,712.4726065280316,706.0148270172879,699.8946368619595,694.0802409297452,688.5435721934263,683.2598203460857,678.20702203741,673.3657045316094
744.5916975851505,736.4899230209614,728.881477725835,721.7156923878158,714.9481095478537,708.5396742143367,702.4560328789069,696.666926201925,691.1456626530636,685.8686621327022,680.8150601009804
755.0922604252926,746.5817809445729,738.598485139988,731.0873204370449,724.0000963566516,717.2945753664477,710.9336875621275,704.8848520610205,699.1193903749457,693.6120190808874,688.340410872823
765.7602626598922,756.8265756551323,748.4557095636137,740.5879236878154,733.1710461026557,726.1594543215425,719.5131971134047,713.1972376294931,707.1808008102294,701.4368104541819,695.9414034000924
776.596976308804,767.2252429767831,758.4538191250291,750.2179546407634,742.461235245725,735.1344416515573,728.1945692760664,721.6039855772078,715.3297053672908,709.342767297543,703.6176971219073
787.6037043258904,777.7787441389983,768.5935036822639,759.9778850447439,751.8709577633606,744.2196841756696,736.9778270458553,730.1050129951317,723.5659291441724,717.3296336817298,711.3689638939898
798.7817806615277,788.4880657224353,778.8754746927098,769.8682057111672,761.4005249200022,753.4153446896477,745.8630083633999,738.7002510536441,731.8893105558561,725.3971663032897,719.1948875656741
810.1325703882371,799.3542196631472,789.3004651376485,779.8894263804908,771.0502650862558,762.7216017433094,754.8501658533276,747.3896447063435,740.2997010061786,733.5451341285856,727.0951636005572
821.6574698876467,810.3782433131177,799.8692294994585,790.0420756385365,780.8205236056309,772.1386494635941,763.9393666074603,756.1731524367419,748.7969646017389,741.7733180791738,735.069498738064
833.3579070971556,821.5611995552536,810.5825437894619,800.326700880474,790.7116627065336,781.6666974209189,773.1306920097106,765.0507460454203,757.3809779053313,750.0815107560309,743.1176106933916
845.2353418148199,832.9041769711126,821.4412056245245,810.7438683204598,800.7240614574114,791.3059705366519,782.4242376004548,774.022410475377,766.0516297266001,758.4695162002927,751.2392278934622
857.2912660611174,844.4082900597825,832.4460343506565,821.294163045059,810.8581157630937,801.0567090296754,791.8201129783089,783.088143673456,774.8088209477673,766.937149688325,759.4340892466765
869.5272044963788,856.0746795064529,843.5978712119888,831.9781891087098,821.114238400498,810.9191684001495,801.3184417373667,792.2479564858759,783.6524643824241,775.484237559089,767.7019439444017
881.9447148927891,867.9045124993386,854.8975795636175,842.796569669604,831.4928590919958,820.8936194487072,810.9193614380881,801.5018725860118,792.5824846655072,784.1106170718945,776.0425512922604
