evolving_asym,evolving_sym
38942.08879380878,47997.225851121686
39735.31601201618,48949.324719228265
40539.77211492654,49910.94607834001
41355.21440608391,50881.59006628963
42181.376109951016,51860.73044093874
43017.96617954749,52847.8152691033
43864.66918600277,53842.26773068507
44721.14529366388,54843.48703672421
45587.03032397599,55850.84945930992
46461.93591089162,56863.709470505615
47345.44975006567,57881.400986670276
48237.135943562,58903.23871379354
49136.535441236505,59928.51958871731
50043.16657937683,60956.52431039703
50956.52571657359,61986.51895466859
51876.08796617771,63017.75666533952
52801.30802406855,64049.479413821464
53731.62108982235,65080.91981897246
54666.44387873602,66111.30301832802
55605.17572153337,67139.84858147531
56547.1997479636,68165.77245597058
57491.88414990254,69188.2889359208
58438.58351898986,70206.61264315026
59386.64025328634,71219.96051075528
60335.38602691969,72227.55375881701
61284.14331620997,73228.6198520951
62232.22697533217,74222.39442966341
63178.94585418759,75208.12319667375
64123.60445082249,76185.0637687397
65065.50459045576,77152.4874598205
66003.94712295981,78109.68100494733
66938.23363048467,79055.94820966724
67867.66813682488,79990.61151867794
68791.55881010581,80913.01349678023
69709.21965040894,81822.51821597913
70619.97215406687,82718.51254330862
71523.14694653517,83600.40732473186
72418.0853759904,84467.63846126759
73304.1410601073,85319.667874307
74180.68137883118,86155.98435790249
75047.08890638016,86976.10431662323
75902.76277618008,87779.5723883722
76747.11997294961,88565.96195233848
77579.5965467059,89334.87552300865
78399.64874404832,90085.94503187537
79206.75405269097,90818.83199915403
80000.4121558477,91533.22759844408
80780.14579371971,92228.85261784549
81545.50152998767,92905.4573215604
82296.05042186155,93562.82121647117
83031.38859288524,94200.75272858869
83751.13770832284,94819.08879460665
84454.94535356402,95417.69437407926
85142.48531657107,95996.46188796207
85813.45777594548,96555.31058941926
86467.58939671298,97094.18587290889
87104.63333640869,97613.058527611
87724.36916448637,98111.92394126726
88326.60269847399,98590.80126045641
88911.16576065126,99049.73251324291
89477.91585933234,99488.78170000832
90026.73579909695,99908.0338581129
90557.53322452752,100307.59410584056
91070.2401021782,100687.58667085918
91564.81214562448,101048.15390818442
92041.22818852351,101389.45531237169
92499.48951065364,101711.66652838286
92939.61912190296,102014.97836528518
93361.6610091411,102299.59581664212
93765.67935083956,102565.7370911547
94151.75770420756,102813.63265680824
94519.99816948394,103043.52430147788
94870.52053587516,103255.66421264822
95203.46141346006,103450.31407861006
95518.97335519156,103627.7442132135
95817.22397292402,103788.2327059818
96098.3950511789,103932.064599127
96362.68166213811,104059.53109275678
96610.2912851245,104170.92877932383
96841.44293359452,104266.55890814404
97056.3662924338,104346.72668059943
97255.3008681108,104411.74057644593
97438.49515401149,104461.91171146433
97606.20581305088,104497.5532265263
97758.69687943332,104518.97970799475
97896.23898121835,104526.50663923947
98019.10858514132,104520.4498829249
98127.58726493808,104501.12519361528
98221.9609942339,104468.84776014405
98302.51946487642,104423.93177710865
98369.5554314234,104366.69004477655
98423.3640823366,104297.43359662515
98464.2424382848,104216.47135368435
98492.48877782126,104124.10980480693
98508.4020905733,104020.65271195654
98512.28155796522,103906.40083957648
98504.42606138764,103781.65170708271
98485.1337176302,103646.69936351229
98454.70144130522,103501.8341833521
98413.42453391202,103347.34268257157
98361.59629911894,103183.50735388797
98299.50768377904,103010.60652030105
98227.44694413852,102828.91420594695
98145.69933664904,102638.70002333676
98054.54683275272,102440.22907606499
97954.2678569724,102233.76187609402
97845.13704760947,102019.55427474483
97727.42503932552,101797.85740654974
97601.39826686317,101568.91764514963
97467.31878914508,101332.97657044655
97325.444132977,101090.2709462511
97176.02715557117,100841.03270769393
97019.31592510053,100585.48895770025
96855.5536184908,100323.86197185639
96684.97843565691,100056.36921102757
96507.82352939156,99783.22334111576
96324.31695011852,99504.63225937597
96134.68160472823,99220.79912673865
95939.1352287216,98931.92240561424
95737.89037089737,98638.19590268377
95531.15438982894,98339.80881620679
95319.12946138962,98036.94578740429
95102.01259659846,97729.78695549986
94879.99566907431,97418.5080160272
94653.26545140165,97103.28028203586
94422.00365972891,96784.27074785023
94186.38700593896,96461.64215505881
93946.58725674907,96135.55306043208
93702.77129911982,95806.15790548704
93455.10121137091,95473.6070874367
93203.73433942544,95138.04703128025
92948.82337762429,94799.62026280795
92690.51645357675,94458.46548231083
92428.95721653495,94114.7176388016
92164.28492880396,93768.50800456761
91896.63455972304,93419.96424989149
91626.13688177693,93069.21051778762
91352.91856842035,92716.36749861609
91077.10229322263,92361.552504447
90798.80682996313,92004.87954305942
90518.147153332,91646.45939146983
90235.234539914,91286.39966889459
89950.17666915579,90924.80490906023
89663.07772404053,90561.77663178412
89374.03849121476,90197.413413756
89083.15646033447,89831.81095845846
88790.52592241832,89465.06216517137
88496.23806701563,89097.25719701205
88200.38107801658,88728.48354796869
87903.04022795078,88358.82610889059
87604.29797063766,87988.36723240356
87304.23403206989,87617.18679672414
87002.92549942645,87245.36226835042
86700.44690812782,86872.96876361151
86396.87032685961,86500.07910906157
86092.26544050477,86126.76390070771
85786.69963093683,85753.09156206444
85480.23805563868,85379.12840103003
85172.94372412167,85004.9386655832
84864.87757213032,84630.58459830075
84556.0985336269,84256.12648969899
84246.66361055807,83881.6227304042
83936.62794041433,83507.12986215863
83626.04486159857,83132.70262767073
83314.96597662725,82758.39401931956
83003.4412131926,82384.25532672468
82691.51888311893,82010.33618319411
82379.24573925098,81636.68461106384
82066.66703031489,81263.34706594361
81753.82655379642,80890.36847988416
81440.76670688308,80517.79230348209
81127.52853551896,80145.66054693912
80814.15178162312,79774.01382009288
80500.67492852335,79402.8913714369
80187.13524465832,79032.33112614801
79873.56882560153,78662.36972313936
79560.01063446121,78293.04255115768
79246.49454070993,77924.38378394357
78933.05335749783,77556.42641447375
78619.718877503,77189.20228830409
78306.5219073717,76822.74213603257
77993.492300801,76457.07560490095
77680.6589903146,76092.23128955433
77368.05001778275,75728.2367619771
77055.69256373514,75365.11860062424
76743.61297551494,75002.90241876645
76431.83679432095,74641.61289206751
76120.38878118318,74281.27378541206
75809.29294191633,73921.90797900181
75498.57255109366,73563.53749373801
75188.25017508298,73206.18351590754
74878.34769418454,72849.86642119016
74568.8863239095,72494.6057980036
74259.88663543615,72140.42047020349
73951.36857527975,71787.32851915446
73643.35148421004,71435.3473051885
73335.85411544994,71084.49348846657
73028.8946521866,70734.7830492589
72722.49072442556,70386.23130765927
72416.65942521676,70038.85294274823
72111.41732628054,69692.66201121983
71806.78049305994,69347.6719654862
71502.76449922484,69003.89567127403
71199.3844406523,68661.34542472662
70896.65494890604,68320.03296902479
