D=0.0 (mm^2/w),D=0.1 (mm^2/w),D=0.2 (mm^2/w),D=0.3 (mm^2/w),D=0.4 (mm^2/w)
19.93453744962423,19.37151131253496,18.84827352084331,18.360168792971823,17.90318308490806
20.979843021239,20.36727673421913,19.799293910280927,19.27052665144855,18.77636817764508
22.05532134740004,21.39010958510261,20.77472044344184,20.202986104802743,19.669638183297995
23.161505049215386,22.440408589867378,21.77484850126776,21.15776141863023,20.583142436326188
24.2989501870916,23.51859115834372,22.79998898369693,22.135080191260087,21.517042011847902
25.46823731772176,24.625094184779496,23.85046893220219,23.13518384394484,22.471510108563074
26.669972678902905,25.76037495354714,24.92663224366894,24.158328191083527,23.44673250292313
27.90478950043313,26.924912148114483,26.02884047157346,25.204784085893905,24.44290806961375
29.17334944000841,28.11920696072556,27.157473711026427,26.274838137554298,25.460249364025465
30.476344143668964,29.343784300810096,28.31293156479991,27.3687934963843,26.498983262935923
31.814496930947502,30.59919410067831,29.495634187968506,28.48697070413671,27.559351660127668
33.188564605457145,31.88601271757001,30.70602340927684,29.62970860694121,28.641612214125676
34.599339392234654,33.204844431622604,31.944563927804367,30.79736532888017,29.746039145667208
36.04765100373275,34.55632303980844,33.21174458394038,31.990319304595307,30.872924082919013
37.53436883694068,35.941113546374275,34.50807970411379,33.20897036972667,32.0225769528391
39.060404304711085,37.35991395079933,35.8341105191477,34.45374090837575,33.19532691744619
40.62671330498926,38.81345713477855,37.190406656532296,35.725077057167745,34.39152335411347
42.23429883228274,40.30251285023802,38.577567707334815,37.023449965866256,35.61153687934754
43.88421373637982,41.82788981090297,39.9962248688947,38.34935711486979,36.85576041585047
45.57756363402909,43.39043789046974,41.4470426648888,39.70332369029609,38.12461030299563
47.31550998003238,44.991050430983066,42.93072074479707,41.08590401773917,39.41852745117753
49.09927330498458,46.63066666559224,44.447995765256586,42.49768305616654,40.73797854082439
50.93013662771936,48.31027426045691,45.999643356261465,43.9392779538124,42.08345726719043
52.809449051393386,50.03091198119674,47.58648017565162,45.41133966831763,43.45548563237472
54.73862955306719,51.793672489932185,49.20936605583418,46.91455465377047,44.85461528634538
56.71917097762173,53.59970527964813,50.86920624720074,48.44964661771432,46.28142891908345
58.752644247890295,55.45021975332977,52.5669537632423,50.0173783516121,47.73654170630041
60.84070280398919,57.34648845607444,54.30361183292338,51.61855363869103,49.22060281152847
62.98508728600192,59.28985046917508,56.0802364664589,53.25401924353935,50.73429694773431
65.18763047541509,61.28171497600453,57.89793914124456,54.92466698828812,52.27834600196503
67.45026251202398,63.32356501040645,59.75788961532373,56.63143592068818,53.853510726902485
69.77501640442661,65.416961399222,61.6613188764351,58.37531457988638,55.46059250357776
72.16403385371306,67.563546911554,63.60952223537609,60.15734336621712,57.10043517988447
74.61957141153573,69.76505062839529,65.6038625731403,61.97861702185787,58.773926989927524
77.14400699542273,72.02329254732946,67.64577375204506,63.84028722975047,60.48200255965499
79.73984678597652,74.34018843815227,69.73676420186001,65.7435653387676,62.225645004646225
82.40973253248862,76.71775496646636,71.87842069278237,67.68972522370638,64.00588812637025
85.15644929550557,79.15811510357258,74.07241230798148,69.68010628932086,65.82381871368656
87.98293365700748,81.66350384232383,76.32049462935804,71.7161166282653,67.6805789568379
90.89228243111457,84.23627424002463,78.62451415113462,73.79923634351148,69.577368981682
