D=0.0 (mm^2/w),D=0.1 (mm^2/w),D=0.2 (mm^2/w),D=0.3 (mm^2/w),D=0.4 (mm^2/w)
3.8668667575417297,3.848872600118285,3.8327221770589968,3.818101584528341,3.804761293176594
3.95714900303502,3.937707029691425,3.920294423916275,3.904559697422193,3.890224688501586
4.048215458640373,4.027229317307934,4.0084741853208286,3.9915570654373065,3.9761683392644698
4.140092999242915,4.117460902986826,4.0972786677804045,4.0791075022872745,4.062603266562972
4.232810266913644,4.208424706859304,4.186726353572341,4.167225945775362,4.149541498352575
4.3263977082810525,4.300145149860426,4.2768370104807465,4.255928459895327,4.236996065916893
4.420887616745466,4.392648178146296,4.367631704566313,4.345232239500125,4.324981002572045
4.516314179727078,4.485961291347712,4.459132816032833,4.435155617572286,4.413511344617656
4.612713531157681,4.580113574784296,4.551364058264243,4.525718075137491,4.502603134553387
4.710123809445927,4.67513573577667,4.6443505001161,4.616940253870707,4.592273426586263
4.808585221166839,4.771060144208311,4.738118591555689,4.708843971452252,4.682540294460453
4.908140110748166,4.867920877503361,4.832696192755658,4.801452239739339,4.773422841647619
5.008833036449232,4.965753770202014,4.928112606757134,4.894789285827064,4.864941213942552
5.11071085295217,5.064596468331034,5.024398615829745,4.988880576081465,4.957116614515534
5.213822800910976,5.164488488783799,5.12158652166795,5.083752843236261,5.049971321479783
5.318220603830753,5.265471283941751,5.2197101895755615,5.179434116654163,5.143528708039431
5.4239585726778365,5.3675883117876495,5.318805096803365,5.275953755863353,5.237813265290849
5.531093718651407,5.470885111780327,5.418908385218432,5.373342487489764,5.332850627757704
5.639685874578588,5.575409386781026,5.520058918498,5.471632445716369,5.428667601748085
5.749797825428134,5.681211091342727,5.622297344055796,5.570857216411644,5.525292196630189
5.861495448472513,5.788342526696324,5.725666159924461,5.671051885080932,5.622753659131688
5.974847863664619,5.89685844279104,5.830209786834208,5.772253088806488,5.721082510776823
6.089927594833443,6.006816147771147,5.935974645745239,5.874499072354676,5.820310588584636
6.206810742342809,6.118275625296893,6.043009241109596,5.97782974864206,5.920471089161587
6.325577167898672,6.231299660144571,6.151364250157277,6.082286763766099,6.02159861633204
6.446310692233366,6.34595397254882,6.26109261852137,6.187913566820804,6.123729232460938
6.569099306439501,6.462307361779617,6.372249662537953,6.2947554847330665,6.226900513634233
6.694035397771631,6.580431859476817,6.484893178578346,6.402859802371486,6.3311516088745465
6.821215990780238,6.700402893296591,6.599083559794115,6.512275848196392,6.436523303581956
