D=0.0 (mm/w),D=0.1 (mm/w),D=0.2 (mm/w),D=0.3 (mm/w),D=0.4 (mm/w)
4.324457463538375,4.3169844384853215,4.309892585955852,4.303151080668995,4.296731944334999
4.365878527069004,4.35707708519828,4.348744213384395,4.340840316342316,4.333329627484214
4.410468030486729,4.400172723342541,4.390448441604435,4.381244866041502,4.372516760347332
4.458306112973963,4.446339202825886,4.435062626597023,4.424413063272741,4.4143338603358355
4.509469799921684,4.495640934046984,4.482640484428072,4.470389489966552,4.458817643151074
4.564033272672998,4.5481391588280085,4.5332323667770975,4.519215257634602,4.5060013092231355
4.62206814465517,4.603892225487281,4.586885538541622,4.570928288644434,4.555914828401116
4.683643743202208,4.66295586727955,4.6436444567177775,4.625563596822708,4.608585222145556
4.748827396560952,4.725383483619454,4.703551049944437,4.683153566783368,4.664036842657736
4.817684725729338,4.791226423656051,4.766644998248957,4.743728231526603,4.722291648527929
4.890279940903209,4.860534271890128,4.832964012654663,4.80731554797495,4.7833694766028705
4.966676142413345,4.933355135627157,4.902544114409236,4.873941670210167,4.847288309867643
5.046935626122013,5.009735934141825,4.975419913673963,4.943631220253479,4.91406454121366
5.13112019332211,5.089722689498961,5.051624887580221,5.016407556296137,4.983713233026211
5.219291465244983,5.1733608190335,5.131191657614656,5.092293038340197,5.056248372575402
5.311511202338063,5.260695429541438,5.214152266340919,5.171309291253497,5.131683123235663
5.407841628522466,5.351771613276712,5.300538453505586,5.253477465280047,5.210030071593411
5.508345760685837,5.446634745887372,5.390381931610739,5.338818494079203,5.291301470531626
5.613087743708221,5.545330786459661,5.483714661067083,5.427353350395372,5.375509478405378
5.722133191360163,5.647906579872102,5.580569125070544,5.519103299485769,5.46266639444474
5.835549533453522,5.754410161694191,5.680978604373,5.614090150457832,5.552784890542049
5.953406369667727,5.864891065896892,5.784977452144945,5.712336505690997,5.645878239599723
6.075775830518102,5.979400635675376,5.8926013691551,5.813866008540274,5.741960540633447
6.202732945979272,6.097992337719032,6.003887679519821,5.918703589541934,5.841046940843933
6.334356022326052,6.220722080300122,6.118875607303987,6.026875711364977,5.943153854888948
6.470727027807275,6.34764853559109,6.237606554285312,6.138410612776203,6.048299181606265
6.611931987825062,6.478833466661701,6.360124379225892,6.253338551911935,6.156502518457729
6.758061390353718,6.614342059651271,6.486475679028621,6.371692049175883,6.267785373984952
6.909210602398947,6.754243261658458,6.616710072191966,6.493506130110436,6.382171378588434
7.065480298369952,6.898610124941682,6.750880485014707,6.618818568618014,6.499686493964072
7.226976901314477,7.0475201580774005,6.88904344104271,6.747670130939966,6.620359221554371
