first_checkpoint_271.0,second_checkpoint_283.0,end_evolution_300.0
85135.24213701599,85135.2247941986,85135.20262121949
,,
34840.7037897259,34840.690759247096,34840.67409968363
52515.80280480574,52515.78712797427,52515.76708447101
58325.77972085522,58325.77100665486,58325.759864952284
,,
101228.84980529346,101228.78445956392,101228.70091520138
,,
84945.94663751496,84945.93342662865,84945.91653579038
,,
,,
69388.13541866052,69388.11283477697,69388.08396110947
91062.14347670034,91062.0312138432,91061.88768965505
40553.559684862434,40553.55105778168,40553.54002772416
31302.38009934661,31302.33478395842,31302.27685058202
37901.71340874669,37901.705683172935,37901.69580571834
,,
99547.79397008168,99547.76406793552,99547.72583790086
,,
34949.47967528735,34949.461910258695,34949.43919761373
,,
74911.78875156151,74911.77992449854,74911.768638536
,,
73081.94208973869,73081.9136083318,73081.87719607628
,,
137180.54900855533,137180.4736861903,137180.37746052642
72511.21468442769,72511.008264268,72510.74435779263
,,
,,
,,
39313.75064779883,39313.74104636902,39313.72877051098
,,
,,
103058.88951525024,103055.90837080884,103052.09683402575
82284.51005709593,82284.49920206246,82284.48532329983
39768.2721126358,39768.206478240194,39768.12256496909
,,
,,
91673.59925948064,91673.584865273,91673.56646191487
,,
59383.13032413304,59383.04989645506,59382.947080350394
60498.425614967,60498.41721036688,60498.40646453882
47425.384882720806,47425.36505309428,47425.33970082515
67879.82022201564,67879.78787471855,67879.74652006697
,,
36847.03529600577,36847.01077606693,36846.979426889964
71886.6315523329,135375.4348759099,118479.66167693991
,,
79537.47923794655,79537.46946113884,79537.45696086637
52093.490327648295,52093.47847378483,52093.463318278154
,,
63854.01801520316,63853.98615290434,63853.94541838154
33905.81080039526,33905.762165587854,33905.69998820248
54509.0120005941,54508.98129392245,54508.94203578605
39906.61598288666,39906.606499442176,39906.594374527485
64735.59856283453,64735.58537297336,64735.56850903149
,,
85933.23834615885,85933.14504277977,85933.02576055136
,,
93363.88510052148,93362.95514232542,93361.76577129184
100663.1950224306,100663.1725365094,100663.14378783497
56374.80662538373,56374.78089448928,56374.7479972966
71407.43407383833,71407.40154228394,71407.35995109846
,,
,,
34138.75748873688,34138.70917477844,34138.64740856838
111701.4876763603,111701.4695291142,111701.44632763996
,,
90715.2383985181,90715.19199950756,90715.13268070758
110534.51862141363,110534.50832976191,110534.49517139867
31543.51332679772,31543.49860172668,31543.479775651354
,,
60945.8112855749,60945.67747457332,60945.5063848617
107050.64621305672,107050.61213098756,107050.56855813511
89381.44443021456,89381.43071525631,89381.41318033481
,,
,,
,,
43272.99097702764,43272.97094716332,43272.94533930262
50932.09179495462,50932.07809575303,50932.06058090673
,,
47468.04139748176,47468.00971689903,47467.96921354169
82624.92599028796,82624.90823750784,82624.88554005482
