first_checkpoint_271.0,second_checkpoint_283.0,end_evolution_300.0
4112.224078470892,4112.223542460812,4112.222857130527
5215.254217946355,5215.252395519938,5215.2500653640645
1663.6499609929012,1663.64708852577,1663.6434163945207
2052.3156098175905,2052.315138800974,2052.3145365753285
5403.661944477807,5403.661609340828,5403.66118083228
2338.943923276018,2338.9413921577625,2338.9381563132924
,,
1458.56942885743,1458.6615209114843,1458.6160645883922
3003.5470051665457,3003.5460287495102,3003.5447803689453
3626.116914403453,3626.116601133891,3626.1162006008553
3413.247504172849,3413.245507626877,3413.242954974495
4792.388043674246,4792.3874465511335,4792.3866830832885
,,
2618.6444923785016,2618.6440645439543,2618.643517525367
2427.223919372993,2427.223491179553,2427.222943704025
3183.45536268941,3183.452270322388,3183.4483166568734
4003.0896853914655,4003.088385694117,4003.0867240045413
2627.638053953372,2627.636742615446,2627.635066073302
,,
,,
5178.864431650443,5178.862674739722,5178.86042842863
,,
,,
,,
,,
4810.457066383963,4810.45612606732,4810.454923806327
3810.820639605367,3810.8202992290426,3810.8198640248747
2417.5805434523986,2417.5768573244864,2417.572144550329
2687.275803434972,2687.275071665921,2687.274136066418
,,
,,
-656.8842243563524,-699.3945494930417,1459.097407842668
3673.28721087845,3673.286184758144,3673.2848728233257
,,
1985.0825413645105,1985.0815863181808,1985.0803652785853
4804.290207438974,4804.289722290117,4804.289101984584
3691.0183653544536,3691.016781554777,3691.0147566483247
5533.585283606688,5533.584544027566,5533.583598424607
4678.820131918033,4678.819591508533,4678.818900557662
,,
,,
3153.243398544577,3153.243042024953,3153.242586190987
2616.5700398915646,2616.563227047165,2616.5545161396954
,,
,,
5941.515227917164,5941.514572998618,5941.513734750976
1333.506629554383,1333.505628358823,1333.50434832924
4283.773922822289,4283.773500830819,4283.772961278739
1418.3335718568885,1418.3331607575922,1418.332635139936
4369.445680398838,4369.44543182953,4369.445114009333
,,
,,
2330.0615834207,2330.0606399735325,2330.059433754541
2109.8272585169407,2109.8267105422537,2109.8260099257946
,,
2779.282102069605,2779.281830807701,2779.281483982691
2655.196707243921,2134.4139736005827,2039.1261697619823
,,
,,
,,
5380.233654662288,5380.233111373158,5380.232416729741
,,
4921.622558518145,4921.6215934401625,4921.6203595237885
5686.445020830722,5686.443637653077,5686.44186913314
,,
3804.7895079657073,3804.788498258473,3804.787207302061
,,
4481.307786056063,4481.307421289237,4481.306954904317
4051.267614205232,4051.267118835768,4051.2664854669915
1954.7258111978808,1954.7249578390847,1954.723866814978
5810.829605430977,5810.829175855019,5810.828626598964
,,
1111.1511441871785,1111.1443773372962,1111.1357267239694
1304.3916903204183,1304.3823129932152,1304.3703256687975
3383.9204104113783,3383.917071119021,3383.9128016537384
,,
3770.483183598702,3770.482897971128,3770.4825327716094
,,
,,
4332.255723177658,4332.252535097725,4332.248459141555
,,
,,
5254.392146930168,5254.391680008851,5254.39108301
1755.722127752915,1755.7217024639442,1755.7211587052905
1831.2298506777424,1831.229388644037,1831.2287979050316
2515.453708171527,2515.448244014884,2515.4412585222476
1634.8110553576516,1634.810653823608,1634.8101404369704
5453.785414942441,5453.78509593429,5453.784688048732
3606.203823981986,3606.2009842642938,3606.1973536314017
3036.9251930382748,3036.924826229848,3036.9243572328714
,,
1997.773887161736,1997.7725813814648,1997.7709119659173
4477.744433882508,4477.744175792086,4477.743845797442
2883.5511890918287,2883.549339460537,2883.5469747121947
,,
5266.036046807021,5266.03368674008,5266.030669639675
3107.880024388051,3107.878542832221,3107.876648650368
1575.6828722347082,1575.6804221678756,1575.6772899000403
4226.645286143026,4226.644904904321,4226.644417465369
4964.72781063268,4964.727475264072,4964.727046460117
6293.741518696101,6293.740986950306,6293.740306231558
3840.2443993773,3840.244097906717,3840.243712455962
2079.9859553091383,2079.9764816120887,2079.964370269784
5984.301630340862,5984.291168526061,5984.277789223712
3431.844506548175,3431.8438466303555,3431.8430028863013
1561.9403229870622,1561.939766582232,1561.9390551995316
5396.2892558481,5396.288995172019,5396.288661870885
1495.5074745671857,1495.5064932401203,1495.5052386076604
3588.6794079149377,3588.6773867969373,3588.6748028095167
,,
,,
4601.614625563153,4601.613046712433,4601.611028036353
1776.1314778839878,1776.1295812647063,1776.127156521108
2892.9223059809283,2834.862389240099,3645.9837506587933
,,
2179.2647546792955,2179.2630525094537,2179.2608763001026
4556.7590217489615,4556.758508839301,4556.757853041523
,,
,,
3411.132710035238,3256.5518251395574,3408.4716951289774
,,
4892.714525972077,4892.714205182747,4892.713795019351
,,
2706.4969928514697,2706.496512652263,2706.495898687379
,,
,,
,,
3474.822285889797,3474.8213751303465,3474.820210689983
,,
,,
3958.734823808693,3958.733584200443,3958.731999322247
2291.280047563432,2291.2752502634094,2291.2691173249736
