D=0.0 (mm^2/w),D=0.1 (mm^2/w),D=0.2 (mm^2/w),D=0.3 (mm^2/w),D=0.4 (mm^2/w),D=0.5 (mm^2/w),D=0.6 (mm^2/w),D=0.7 (mm^2/w),D=0.8 (mm^2/w),D=0.9 (mm^2/w),D=1.0 (mm^2/w)
5.113731633588671,5.072177233215148,5.034037612786881,4.998860192834416,4.966262866900292,4.935922421453972,4.907564905953808,4.880957619937754,4.855902441438168,4.8322302684778,4.809796384645603
5.156984285696908,5.113195781173504,5.073053414325324,5.0360676666404,5.001826240637899,4.969981203835319,4.940238326521342,4.912348233552547,4.88609905674261,4.861310329102087,4.837827907273151
5.201246129403388,5.155136901437402,5.112917338695833,5.074058541665592,5.038116118647926,5.004715934032738,4.973542320392967,4.944328322220907,4.916847615648735,4.890907811383095,4.866344899778073
5.246525268060519,5.1980065589964,5.153633678762265,5.11283577952126,5.075134381601211,5.040127596973169,5.007477115345188,4.976897461955179,4.9481471242189,4.921021216558972,4.895345411892741
5.2928298376802445,5.241810719956005,5.195206709304692,5.152402312092197,5.112882873329367,5.076217136300339,5.042042894993391,5.010055182673885,4.979996541110101,4.951648997623131,4.924827444685325
5.340168017243741,5.286555360844962,5.237640695624537,5.192761049597139,5.151363408424353,5.112985461563134,5.077239805605126,5.043800974672598,5.012394783735454,4.982789565210459,4.954788956205167
5.388548039103981,5.332246477961448,5.280939902148791,5.233914888617394,5.190577779781785,5.150433455328082,5.113067962821955,5.078134294991127,5.0453407343125525,5.014441293363189,4.985227867002327
5.437978199483859,5.378890096759738,5.325108601034359,5.275866720094616,5.230527766088913,5.188561980217081,5.149527458291144,5.113054573678581,5.078833245800447,5.046602525178355,5.01614206552338
5.488466869072724,5.42649228127903,5.370151080773711,5.318619437298716,5.271215139258317,5.227371885871535,5.186618366208614,5.148561219957864,5.112871147727029,5.079271578338799,5.04752941338556
5.540022503724326,5.475059143616259,5.416071654803141,5.362175943767038,5.312641671808458,5.2668640158441775,5.224340749774557,5.184653628291247,5.14745325190861,5.112446750529651,5.079387750531319
