D=0.0 (mm^2/w),D=0.1 (mm^2/w),D=0.2 (mm^2/w),D=0.3 (mm^2/w),D=0.4 (mm^2/w),D=0.5 (mm^2/w),D=0.6 (mm^2/w),D=0.7 (mm^2/w),D=0.8 (mm^2/w),D=0.9 (mm^2/w),D=1.0 (mm^2/w)
11.169218826696635,10.947056530887188,10.73654013538238,10.536635029863511,10.346416315497182,10.165056452377856,9.991814334287492,9.826025623772166,9.667094200173125,9.514484590578745,9.367715268953841
11.55327835630204,11.318444258423064,11.096165621085389,10.885305338504535,10.6848492402169,10.49389197653328,10.311624567523957,10.1373234169398,9.97034061631058,9.81009538543693,9.656066513947517
11.94387381795023,11.695870407030556,11.461385839338826,11.2391724215214,11.028119931995874,10.827239532591058,10.63564961345328,10.452563335833466,10.277277666193946,10.109163720366832,9.94765825868714
12.341046114060958,12.0793637028348,11.832219612872716,11.59824698252914,11.376232375127854,11.165097483984326,10.963883077955966,10.771734909418557,10.58789134129666,10.411672480164343,10.242470629019733
12.744837537368127,12.468954067268552,12.208686829336084,11.96254070285267,11.729191472500608,11.507465071321104,11.296319413390073,11.094828488648632,10.90216843402442,10.717605331363002,10.540484514431324
13.15529174773686,12.86467259026726,12.590808412202492,12.332066210817665,12.087003013574382,11.85434237916338,11.632953884207495,11.4218352109439,11.22009650110234,11.026946684610651,10.841681529529064
13.572453752606968,13.266551506970512,12.97860629509721,12.706837054397289,12.449673645662571,12.205730306064616,11.973782535794577,11.75274696786965,11.541663830147307,11.339681660225564,11.146043978704743
13.996369890902448,13.674624177759462,13.372103399367523,13.086867677029677,12.817210848323857,12.561630537670158,12.318802166337187,12.08755637581104,11.866859409218549,11.65579605672168,11.453554823766234
14.427087820260429,14.088925071473785,13.771323614731989,13.4721733964355,13.189622910689748,12.922045522699872,12.668010301525756,12.42625674945619,12.195672899155104,11.975276322108824,11.764197654339796
14.864656507445918,14.50948975166459,14.176291782857277,13.862770386278074,13.56691891156488,13.286978451646013,13.021405171929516,12.768842077913652,12.528094608523482,12.29810952778829,12.077956660861048
15.309126221830212,14.936354865751314,14.587033683723115,14.25867566052044,13.949108702149504,13.656433238031726,13.37898569288194,13.115307003303226,12.864115471011663,12.624283344877634,12.39481660998601
15.76054853182148,15.369558136961212,15.003576024646485,14.659907060344713,14.3362028912448,14.030414502086916,13.740751446730808,13.46564680167083,13.2037270251178,12.953786022810606,12.714762822265955
16.218976304145745,15.80913835893986,15.42594643184604,15.066483243508994,14.728212832811696,14.408927556708496,14.106702667317018,13.819857366088891,13.54692139599275,13.286606370069336,13.037781151941155
16.68446370588539,16.255135392929876,15.854173444436794,15.47842367602622,15.125150615763284,14.791978395581609,14.476840226555725,14.17793519181355,13.893691279305662,13.622733736916022,13.363857968718944
17.157066209190447,16.707590167423234,16.28828651075316,15.895748626057673,15.527029055879249,15.17957368334691,14.85116562300238,14.539877363378942,14.24402992701094,13.96215800000072,13.69298014141094
17.63684059858549,17.166544680199994,16.728315986906054,16.318479159921537,15.93386168973868,15.57172074770717,15.229680972294297,14.90568154351715,14.597931134903387,14.304869548730334,14.025135023313004
18.123844980801785,17.63204200267315,17.174293137486693,16.746637140123845,16.34566277057469,15.96842757337352,15.612388999365749,15.275345963799916,14.955389231855944,14.650859273291776,14.360310439219427
18.618138797070813,18.10412628646557,17.626250138335987,17.180245225325713,16.762447265960887,16.369702797758574,15.99929303234157,15.64886941690522,15.31639907064162,15.00011855422944,14.69849467397016
19.119782837821106,18.582842772150865,18.084220081304405,17.619326872166617,17.184230857245797,16.775555708329698,16.39039699802045,16.026251250418255,15.68095602024768,15.352639253483806,15.039676462436619
19.62883925972584,19.06823780009536,18.548236980932472,18.063906338869,17.61102994065696,17.18599624154155,16.785705418864932,16.407491362082233,16.049055959596195,15.708413706804016,15.383844980857814
20.14537160505369,19.56035882334334,19.018335782987133,18.51400869055456,18.04286163000149,17.601034983272104,17.18522341142053,16.792590196419894,16.420695272590564,16.06743471745296,15.730989839444222
20.66944482328016,20.05925442249235,19.49455237479383,18.96965980620726,18.479743760894845,18.020683170691424,17.588956686091333,17.181548742651696,16.795870844412836,16.42969555112861,16.0811010761721
