D=1.0 (mm^2/w),D=1.5 (mm^2/w),D=2.0 (mm^2/w)
5.336333786199643,5.149559498162588,4.999982541288698
5.408369604951983,5.207880796705853,5.047709162341688
5.482181514117014,5.267342450659816,5.096123544177837
5.5577519754014535,5.327913481889805,5.145188611273479
5.635064061052751,5.389563348414621,5.194867842066184
5.714101569259398,5.452262028105429,5.245125335973015
5.794849133773974,5.515980095912036,5.295925873616918
5.87729232800798,5.580688794871394,5.347234970577401
5.961417763846281,5.646360101149469,5.39901892497654
6.047213185428224,5.712966783364299,5.451244859206316
6.134667558142131,5.78048245643507,5.503880756098054
6.22377115308,5.848881630199284,5.556895489829428
6.314515627199614,5.918139753037479,5.610258851858984
6.406894099441967,5.988233250742398,5.663941572172438
6.500901223052858,6.059139560866991,5.717915336119024
6.596533254358584,6.130837162782991,5.772152797110008
6.693788118246896,6.203305603679099,5.826627585445003
6.792665470605677,6.276525520724936,5.881314313524986
6.89316675797313,6.350478659623812,5.936188577703956
6.99529527465462,6.425147889774049,5.991226957023877
7.099056217562549,6.500517216255028,6.046407009070098
7.204456739036956,6.576571788850282,6.101707263176684
7.311505997905638,6.653297908315835,6.157107211203181
7.420215209043695,6.73068303009759,6.212587296096202
7.530597691693368,6.808715765696887,6.268128898440964
7.642668916805922,6.887385881878411,6.323714321199495
7.756446553668156,6.966684297909436,6.37932677282372
7.871950516076787,7.046603081013928,6.434950348923086
7.989203008324667,7.127135440219424,6.490570012657758
8.10822857126338,7.208275718768691,6.54617157401983
8.229054128707354,7.290019385262225,6.60174166815638
8.351709034445237,7.372363023691413,6.657267732879705
8.476225120124942,7.455304322515976,6.712737985501611
8.602636744279412,7.538842062932901,6.768141399120283
8.730980842761046,7.622976106477676,6.823467678480109
8.861296980853623,7.707707382092189,6.878707235516769
8.993627407331706,7.793037872787202,6.933851164692049
9.128017110738838,7.878970602020881,6.988891218215235
9.26451387815748,7.965509619908512,7.043819781240466
9.403168356745477,8.052659989372208,7.098629847122291
9.54403411831608,8.140427772333233,7.1533149928047015
9.687167727241176,8.228820016043498,7.207869354412262
9.83262881196032,8.317844739646821,7.262287603105551
9.980480140381625,8.407510921054788,7.316564921257001
