D=1.0 (mm/w),D=1.5 (mm/w),D=2.0 (mm/w)
1.396730541738972,3.0892309479067923,2.359848347866489
1.3769308724846756,3.0735849730094857,2.3593013194396337
1.357715962150034,3.05741532134933,2.3587432085442095
1.3390722059603757,3.040737681242528,2.3581738488357566
1.3209859168788047,3.023568691221666,2.3575930749917884
1.3034433740731473,3.0059258783637217,2.357000722722354
1.2864308666600863,2.9878275930101714,2.356396628780971
1.269934732999577,2.969292940383444,2.3557806309759077
1.2539413958131518,2.9503417096196247,2.355152568181809
1.2384373933974393,2.9309943007464567,2.3545122803516474
1.2234094071995354,2.911271650138446,2.3538596085289845
1.2088442860142734,2.891195154977517,2.3531943948605356
1.1947290670552615,2.8707865972385456,2.352516482609017
1.1810509941421663,2.8500680677046173,2.3518257161662635
1.167797533236407,2.8290618904975813,2.3511219410666073
1.1549563855464466,2.8077905485858468,2.3504050040004967
1.1425154984124626,2.7862766107040664,2.3496747528283457
1.1304630741685209,2.764542660088899,2.3489310365945992
1.1187875771686642,2.74261122540206,2.348173705542
1.1074777391516617,2.720504714176952,2.3474026111260424
1.0965225631076831,2.698245349088875,2.3466176060295982
1.085911325798956,2.6758551073116763,2.3458185441777033
1.0756335790755878,2.6533556631862503,2.3450052807524884
1.065679150117273,2.6307683343889843,2.34417767220824
1.0560381407215804,2.608114031751487,2.343335576286578
1.046700925749949,2.5854132128471203,2.3424788520317366
1.037658150833484,2.5626858394253205,2.3416073598059297
1.028900729432051,2.5399513387416794,2.340720961304797
1.0204198393321426,2.517228568800578,2.3398195195729015
1.0122069186614109,2.4945357874979317,2.3389028990192813
1.0042536614907085,2.4718906256245186,2.3379709654330267
0.9965520130878984,2.449310063665552,2.3370235859988786
0.989094164881571,2.4268104123096017,2.3360606293128297
0.981872549187134,2.404407296559878,2.3350819653977166
0.9748798337425034,2.382115643323069,2.3340874657187882
0.968108916095779,2.359949672335546,2.3330770031992363
0.9615529178828414,2.3379228902736493,2.332050452235677
0.9552051790287114,2.316048087883908,2.331007688713567
0.9490592519027712,2.2943373399604234,2.329948590022543
0.9431088954545148,2.2728020079900118,2.3288730350716715
0.9373480693533656,2.251452745281082,2.3277809043045936
0.9317709281532512,2.2302995043894684,2.326672079714556
0.9263718155000308,2.2093515466532767,2.3255464448593126
0.9211452583975172,2.188617453649381,2.324403884875882
0.916085961545705,2.168105140386042,2.323244286495158
0.9111888017628924,2.1478218700493543,2.3220675380563476
0.9064488225016428,2.127774270125569,2.320873529521237
0.901861228466966,2.1079683497266486,2.319662152488266
0.8974213803436994,2.0884095179526274,2.3184333002064053
0.8931247896387966,2.0691026031312525,2.3171868675888168
0.8889671136431182,2.0500518727828987,2.315922751226299
0.8849441505162989,2.031261054166724,2.314640849400494
0.8810518344973786,2.01273335527237,2.3133410620968564
0.8772862312430848,1.9944714861301005,2.312023291017364
0.8736435332949535,1.9764776803209811,2.31068743959297
0.8701200556758519,1.9587537165775224,2.3093334129957843
0.8667122316159231,1.9413009403739296,2.3079611181509674
0.8634166084074945,1.924120285413804,2.3065704637483426
0.8602298433880746,1.90721229493161,2.305161360253706
0.8571487000502049,1.8905771427325304,2.30373371991983
0.8541700442766181,1.87421465390332,2.302287456797156
0.8512908406988926,1.858124325134507,2.300822486744165
0.8485081491775645,1.8423053446016355,2.29933872743742
0.8458191214014675,1.826756611360273,2.297836098381276
0.8432209976039171,1.8114767542161188,2.2963145209172464
0.8407111033932211,1.7964641500377738,2.294773918233031
0.8382868466948998,1.7817169414855785,2.2932142153711847
0.8359457148029158,1.7672330541353174,2.2916353392374353
0.833685271537152,1.753010212980623,2.2900372186086417
0.8315031545043362,1.7390459583025102,2.2884197841403853
0.8293970724595803,1.7253376608986983,2.286782968374198
0.8273648027656899,1.7118825366692123,2.285126705744415
0.8254041889474005,1.698677660558224,2.2834509325846604
0.823513138337701,1.6857199798552032,2.2817555871339543
0.8216896198134279,1.6730063268612316,2.2800406095424437
0.819931661617337,1.6605334309287805,2.2783059418767575
0.818237349263893,1.6482979298854037,2.276551528124983
0.8166048235260553,1.6362963808536743,2.2747773142012626
0.8150322785003831,1.6245252704812825,2.272983247950016
0.8135179597478278,1.6129810245965728,2.271169279149781
0.8120601625076356,1.6016600173059328,2.2693353595166825
0.8106572299818313,1.5905585795503423,2.2674814427075254
0.809307551687816,1.5796730071391392,2.265607484322517
0.8080095618766635,1.5689995682795836,2.26371344190762
0.8067617380147633,1.558534510621214,2.2617992749565414
0.8055625993265139,1.548274067834213,2.259864944912358
0.8044107053958344,1.5382144657411343,2.2579104151687854
0.8033046548243178,1.5283519280213376,2.2559356510710957
0.8022430839439146,1.5186826815073786,2.253940619916686
0.8012246655820927,1.5092029610924238,2.2519252909553056
0.800248107877479,1.499909014267477,2.2498896353889495
0.7993121531440505,1.490797105306892,2.247833626371422
0.7984155767819964,1.4818635191202432,2.245757239007578
0.7975571862334353,1.4731045647881906,2.2436604503522526
0.7967358199812239,1.4645165787995065,2.2415432394088826
0.795950346589153,1.4560959280059051,2.239405587127832
0.7951996637818782,1.4478390123108005,2.2372474764044292
0.794482697562989,1.4397422671075386,2.235068892076723
0.7937984013696688,1.431802165482106,2.2328698209229727
0.7931457552624552,1.4240152201947098,2.2306502516588753
0.7925237651486511,1.416377985454064,2.2284101749345484
0.7919314620379962,1.4088870584976154,2.2261495833312717
0.7913679013292475,1.4015390809903625,2.2238684713580033
0.7908321621263672,1.3943307402543466,2.221566835447683
0.7903233465830626,1.387258770340316,2.2192446739533325
0.7898405792744627,1.3803199529525068,2.2169019871439617
0.7893830065947622,1.3735111182369344,2.214538777200304
0.7889497961797032,1.366829145443048,2.212155048210382
0.7885401363528041,1.3602709634680832,2.2097508061649256
0.7881532355942881,1.3538335512929387,2.2073260589526478
0.7877883220316962,1.347513938317907,2.2048808163554012
0.7874446429512105,1.3413092046061237,2.2024150900432238
0.7871214643287471,1.3352164810421343,2.1999288935692856
0.7868180703799135,1.3292329494125412,2.19742224236476
0.7865337631279591,1.323355842415272,2.1948951537336234
0.786267861988878,1.317582443603602,2.1923476468474075
0.7860197033728573,1.3119100872706797,2.1897797427399106
0.7857886403012934,1.306336158279935,2.187191464301891
0.7855740420386282,1.300858091846391,2.184582836275753
0.7853752937382877,1.2954733732735717,2.1819538852502394
0.7851917961020297,1.2901795376503753,2.179304639655153
