D=1.0 (mm^2/w),D=1.5 (mm^2/w),D=2.0 (mm^2/w)
19013.451495284065,5996.712239885164,2551.058940087195
19563.1191339686,6088.709733530006,2561.189024857638
20126.97083067785,6182.710930411103,2571.304368559852
20704.87555733873,6278.766082690792,2581.404843014848
21296.64411458553,6376.926365357537,2591.49031010366
21902.025506075155,6477.243856635685,2601.5606217679533
22520.70352316029,6579.77151417699,2611.6156200102823
23152.293602213955,6684.563146682116,2621.655136894008
23796.340018905765,6791.673380581847,2631.678994542903
24452.313484586768,6901.157621389222,2641.687005140472
25119.60920949489,7013.072009315459,2651.6789709290124
25797.545495620565,7127.473368724498,2661.6546842084517
26485.362918680683,7244.419150983561,2671.6139273349945
27182.22415368866,7363.967370250361,2681.556472719614
27887.21449207599,7486.176531721984,2691.4820828264333
28599.343090265866,7611.105551856129,2701.3905101710347
29317.54498012419,7738.813670062692,2711.28149731874
30040.6838609735,7869.360351353101,2721.1547768829114
30767.555681056467,8002.805179426545,2731.0100715233193
31496.893003728263,8139.20773966692,2740.8470939446283
32227.37014052753,8278.62749152228,2750.6655468950485
32957.609019938565,8421.123629740414,2760.4651231652115
33686.185747442825,8566.754933940349,2770.245505587321
34411.6377997006,8715.57960601079,2780.006367034638
35132.471783731904,8867.655094843174,2789.747370421353
35847.171681088745,9023.037907930013,2799.4681687029097
36554.20748750953,9181.78340938894,2809.1684048768343
37252.04415066475,9343.945604010236,2818.8477119841396
37939.15070253949,9509.57690697108,2828.5057131113554
38614.00947890231,9678.727898914283,2838.1420213932574
39275.12531627665,9851.447066153089,2847.7562400163556
39921.03461690073,10027.780525837888,2857.3479622232044
40550.314174318526,10207.771736005569,2866.9167713176053
41161.58965642006,10391.46119052847,2876.462240670766
41753.54364882196,10578.886099087977,2885.983933728482
42324.92316928347,10770.080052417914,2895.481404019413
42874.54657318051,10965.072673195584,2904.9541951645165
43401.309780668365,11163.889253103222,2914.4018408877146
43904.19176778469,11366.550376740322,2923.82386502786
44382.25927608947,11573.07153323689,2933.2197815520694
44834.670708213125,11783.462716599131,2942.5890945705014
45260.67918958859,11997.728016011542,2951.931298352643
45659.63478939106,12215.865197521807,2961.2458773451804
46030.9859060266,12437.865278746143,2970.5323061915255
46374.27983415102,12663.712098451137,2979.7900497530673
46689.16254094512,12893.381883091872,2989.018563132222
46975.37768904114,13126.842812612997,2998.2172916973577
47232.764951943725,13364.054588046582,3007.3856711096573
47461.2576749173,13604.968003665785,3016.5231273520026
47660.87994005792,13849.52452667256,3025.6290767599426
47831.74309861284,14097.655887608144,3034.7029260548265
47974.04183657095,14349.283684872316,3043.7440723791683
48088.04984117217,14604.319006918184,3052.751903334316
48174.11513635469,14862.662075848595,3061.7257970205014
48232.65515437708,15124.201916274493,3070.665122079337
48264.15160904105,15388.81605339986,3079.5692377388355
48269.14523323339,15656.370244368249,3088.4374938610226
48248.230440044856,15926.71824693798,3097.269230992212
48202.04996265451,16199.701629543091,3106.063780416015
48131.28952363169,16475.14962674113,3114.8204642091537
48036.6725794431,16752.879043944213,3123.538595300149
47918.95518088675,17032.694215173335,3132.2174775309513
47778.92098502511,17314.387017366043,3140.8564057215785
47617.37644906188,17597.736944503038,3149.454665737838
47435.146231589926,17882.511244499663,3158.0115345621875
47233.06882180994,18168.46512143424,3166.526280367814
47011.9924127405,18455.34200525829,3174.998162595981
46772.7710301609,18742.873890656632,3183.426432036724
46516.26092508215,19030.781746201552,3191.8103309129438
46243.31723395351,19318.77599437982,3200.1490929679685
45954.79090759447,19606.557062469365,3208.4419435566406
45651.52590699866,19893.816003611308,3216.6880997399917
45334.35666168302,20180.235186769587,3224.8867703835626
45004.10578414132,20465.48905360337,3233.037156259423
44661.58203219018,20749.244939605385,3241.138450151954
44307.57850954747,21031.163956191547,3249.1898369674373
43942.87109383496,21310.901929773758,3257.1904938475136
43568.21708032338,21588.11039321738,3265.139590286559
43184.35402911408,21862.437624488302,3273.0362882530226
42791.99880304851,22133.52972673976,3280.8797423147826
42391.8467834316,22401.03174358617,3288.669099768561
41984.571250619374,22664.58880286704,3296.4035007734424
41570.82291663277,22923.847281826835,3304.0820784885414
41151.22959719499,23178.455986331865,3311.7039592148544
40726.39601092696,23428.06733651853,3319.2682625413404
40296.90369385665,23672.338551122062,3326.7741014952594
39863.31101788431,23910.93282267389,3334.220582696808
39426.15330238107,24143.52047578009,3341.6068065180825
38985.94300867079,24369.78010080269,3348.9318672463965
38543.17000773925,24589.399655458677,3356.1948532519823
38098.30191212319,24802.07752712443,3363.3948471600997
37651.78446354267,25007.52354898372,3370.5309260275735
37204.04196844823,25205.45996357731,3377.602161523778
36755.47777425109,25395.62232779808,3384.607620116087
36306.47477958666,25577.76035391794,3391.546363259804
35857.395972523576,25751.63868182468,3398.4174475925743
35408.58499116972,25917.037578279665,3405.219925133304
34960.36670164102,26073.75355967153,3411.952843485572
34513.04778884577,26221.59993542794,3418.61524604555
