fixed_sym_D_1.0_ooo,fixed_asym_D_1.0_oob,fixed_asym_D_1.0_obb,fixed_sym_D_1.0_bbb
596.7112937427855,588.0934234275397,558.0304183557571,537.3741344309271
601.539814470525,592.5247572572026,561.8535529303667,540.2906383447221
606.3771792168565,596.9548120644247,565.6803230122296,543.190542714186
611.2221952331852,601.3823886025021,569.5097474534003,546.0729858813935
616.0736922229805,605.806315145744,573.3408652514373,548.9371371441794
620.9305216743608,610.2254467884283,577.1727349417642,551.7821959429848
625.7915562477699,614.6386647949713,581.0044340372887,554.6073910898299
630.6556892142179,619.0448759968459,584.8350585115173,557.41198003584
635.5218339399041,623.4430122321488,588.663722321693,560.1952481740566
640.3889234133644,627.8320298240404,592.4895569687407,562.9565081745409
645.2559098115748,632.2109090945859,596.311711091052,565.6950993490321
650.1217641017171,636.5786539108014,600.1293500893548,568.4103870426557
654.9854756755558,640.9342912599649,603.9416557801227,571.1017620503878
659.8460520136099,645.2768708514832,607.7478260751617,573.7686400561814
664.7025183765076,649.6054647428266,611.5470746851889,576.4104610928342
669.5539175211113,653.9191669872356,615.3386308453731,579.026689020848
674.399309439178,658.2170933010931,619.1217390609577,581.6168110246766
679.237771116484,662.498380749021,622.8956588712214,584.1803371249011
684.0683963105024,666.7621874449179,626.659664630159,586.7167997049979
688.8902953448562,671.0076922673004,630.4130453023803,589.2257530514828
693.7025949189103,675.234094587441,634.155104272836,591.7067729063233
698.5044379309813,679.4406140089228,637.8851591690784,594.1594560306103
703.2949833137611,683.6264901173446,641.6025416948596,596.5834197785719
708.0734058806565,687.7909822390151,645.3065974739557,598.9783016810967
712.8388961818432,691.9333692075755,648.996685903189,601.3437590380123
717.590660368926,696.0529491375795,652.672180013694,603.679468518434
722.3279200671811,700.1490392041446,656.3324663395423,605.9851257685679
727.049912254437,704.220975427869,659.9769447929123,608.260445026409
731.755889145723,708.2681124642772,663.6050285450435,610.5051587428347
736.4451180828854,712.2898233971308,667.2161439122804,612.7190172086407
741.1168814284335,716.2854995349978,670.8097302465568,614.9017881871175
745.7704764629412,720.2545502105363,674.3852398297295,617.0532565518068
750.4052152853817,724.1964025820007,677.9421377712088,619.1732239291156
755.0204247158294,728.1105014365286,681.4799019083844,621.2615083455039
759.6154462000106,731.9963089948136,684.9980227093807,623.3179438789953
764.1896357152286,735.8533047168116,688.496003177718,625.3423803147874
768.7423636772357,739.6809851081696,691.9733587584878,627.3346828047705
773.2730148476602,743.4788635270996,695.4296172456893,629.2947315307853
777.7809882416373,747.2464699914602,698.8643186903996,631.2224213714744
782.2656970353262,750.9833509858327,702.2770153094849,633.1176615726051
786.7265684730277,754.689069268414,705.6672713945842,634.9803754207562
791.1630437736486,758.3632036775732,709.0346632211241,636.8104999202832
795.5745780362871,762.0053489379417,712.3787789571472,638.6079854734882
799.9606401447385,765.6151154659333,715.6992185717596,640.3727955639375
804.3207126707478,769.1921291746087,718.995593743023,642.1049064428812
808.654291775857,772.7360312778202,722.2675277651389,643.8043068187397
812.9608871117164,776.2464780935879,725.514655454787,645.4709975496356
817.2400217187495,779.7231408466778,728.7366230565025,647.1049913389525
821.4912319230808,783.1657054703632,731.9330881469879,648.7063124339171
825.7140672316505,786.5738724073689,735.1037195382727,650.2749963272025
829.9080902254584,789.9473564100049,738.2481971796487,651.8110894615585
834.0728764508933,793.2858863395112,741.3662120583194,653.3146489374813
838.2080143091165,796.5892049646436,744.4574660987165,654.7857422239384
842.3131049434835,799.8570687595388,747.5216720604463,656.2244468721668
846.3877621249966,803.0892477009068,750.5585534348395,657.6308502325686
850.4316121357942,806.2855250646031,753.5678443400877,659.0050491747292
854.4442936506908,809.445697221644,756.5492894149592,660.3471498105846
858.4254576167912,812.5695734337265,759.5026437110931,661.6572672207689
862.3747671312108,815.6569756483277,762.4276725838828,662.9355251841688
866.291897316942,818.7077382934547,765.3241515819591,664.1820559107196
870.1765351969109,821.7217080721259,768.1918663352991,665.396999777471
874.0283795662774,824.698743756663,771.0306124419849,666.5805050679559
877.847140863037,827.6387159828773,773.8401953536456,667.7327277148912
881.6325410369843,830.5415070442359,776.6204302596202,668.8538310462438
885.3843134171077,833.4070106860942,779.371141969882,669.9439855346878
889.1022025774832,836.2351319000811,782.092164796772,671.0033685504847
892.7859642017434,839.0257867187272,784.7833424355877,672.0321641178112
896.4353649461964,841.7789020104215,787.4445278440819,673.0305626745642
900.0501823016756,844.4944152747862,790.0755831209253,673.9987608356624
903.6302044541997,847.1722744385576,792.6763793831902,674.9369611598728
907.1752301445272,849.8124376520578,795.2467966429148,675.8453719201783
910.6850685266894,852.4148730863459,797.7867236828097,676.7242068777098
914.1595390255846,854.9795587311306,800.296057931169,677.5736850592561
917.598471193724,857.5064821935295,802.7747053360494,678.3940305383712
921.0017045672104,859.9956404977546,805.2225802387826,679.1854722200874
