euler,RK_rtol_0.001_atol_1e-06,RK_rtol_0.0001_atol_1e-07,RK_rtol_1e-05_atol_1e-08
30446.2051644418,30446.73937949781,30446.374874154342,30446.18728207911
30473.82545439066,30476.10210762473,30473.89816571604,30473.81812625181
,30503.0295205366,30501.04990760314,30500.93261369365
,30528.417787914816,30527.70631460188,30527.54225134029
30553.71916546165,30556.21599855889,30553.7577772762,30553.71027200833
30579.40618727471,30580.04731395177,30579.52678755666,30579.4022018501
30604.642286891587,30605.205712865696,30604.71128901609,30604.63315441483
30629.439483450456,30629.906719448223,30629.4919324252,30629.42734202059
30653.809364272493,30655.64903020072,30653.85857451481,30653.803910264996
30677.763104435075,30679.2257200534,30677.894510332186,30677.75206948963
,30703.34275686333,30701.41187776264,30701.301432019718
,30724.910028168484,30724.584939477747,30724.457843022807
,30747.70286344091,30747.371120042542,30747.229684816535
,30770.733310879907,30769.67585385832,30769.58017142194
,30794.09706869996,30791.700952526244,30791.65043813443
30813.324912021664,30815.21365264513,30813.393577038954,30813.30056185532
30834.64758632541,30835.659527204367,30834.786022347085,30834.62991148051
30855.630704269337,30859.055122530885,30855.87835164047,30855.62367654567
30876.28245513454,30878.21614811684,30876.394927725785,30876.279358790456
30896.61076257339,30897.05100019783,30896.66010685508,30896.580122498573
30916.62329546062,30918.38840390492,30916.69359296373,30916.588531695124
30936.32747820904,30936.67881634199,30936.46341469165,30936.32096606636
30955.73050058105,30956.60908113492,30955.9102883343,30955.71367518037
30974.83932702472,30975.133222906683,30975.110300699125,30974.832816762115
30993.660705561542,30994.073766239628,30993.767455517973,30993.655851328862
