D=1.0,D=1.5,D=2.0
14.636039140572642,12.094381369197958,10.806438982566005
14.837670807366646,12.201953428947084,10.878162420417206
15.043635708446894,12.31034953077845,10.949847349859713
15.254091044164854,12.41959006421976,11.021494174380768
15.469199522834614,12.5296959217072,11.093103288137664
15.689129456609544,12.640688512260702,11.164675075856792
15.91405484318694,12.752589775450549,11.236209912735605
16.144155430752754,12.865422195652,11.307708164347188
16.379616763312043,12.979208816583506,11.379170186547123
16.620630203271347,13.093973256122837,11.450596325382364
16.86739292784839,13.20973972139403,11.521986917001874
17.120107895585058,13.326533024116625,11.593342287568762
17.378983778934728,13.444378596206857,11.664662753173717
17.64423485858916,13.56330250561879,11.73594861974951
17.916080874908424,13.68333147241123,11.807200182986389
18.194746831526,13.804492885024125,11.878417728248165
18.48046274592816,13.92681481674579,11.949601530488863
18.77346334156044,14.05032604234958,12.020751854169747
19.07398767580503,14.175056054875926,12.091868953176597
19.38227869801285,14.301035082532424,12.162953070737116
19.69858273167578,14.42829410568145,12.234004439338333
20.023148874802505,14.556864873881054,12.305023280643919
20.35622831263164,14.68677992294102,12.376009805411284
20.698073536994112,14.818072591951765,12.446964213408403
21.04893746694144,14.950777040239153,12.517886693330261
21.409072465704647,15.084928264193442,12.588777422714857
21.77872924965796,15.220562113915316,12.659636567858707
22.15815568574875,15.357715309616308,12.730464283731767
22.547595474835653,15.496425457704856,12.80126071389175
22.947286719563227,15.63673106648288,12.872025990397773
23.357460376803,15.778671561370704,12.94276023372329
23.7783385963126,15.92228729957102,13.013463552668293
24.210132949105745,16.06761958407464,13.084136044270744
24.653042551078844,16.214710676902577,13.154777793717201
25.107252089690025,16.363603811470245,13.225388874252637
25.57292976390904,16.51434320395032,13.29596934708942
26.05022515021889,16.666974063501016,13.36651926131545
26.53926701010883,16.821542601216333,13.437038653801446
27.04016105720028,16.97809603764412,13.50752754910737
27.552987704829835,17.13668260870645,13.577985959387995
28.077799817505287,17.297351569845237,13.648413884297613
28.61462049207299,17.460153198203777,13.71881131089389
29.163440896604527,17.625138792642357,13.789178213540891
29.724218196841047,17.792360671373043,13.859514553811245
30.296873601439653,17.961872166985547,13.929820280387515
30.881290558166103,18.133727618622316,14.00009532896276
31.477313133498587,18.307982361047312,14.070339622140297
32.08474460778599,18.48469271033891,14.140553069332727
32.703346317094486,18.663915945923307,14.210735566660192
33.33283677114931,18.84571028865105,14.280886996847943
33.972891074327165,19.030134874605377,14.351007229123208
34.62314067349285,19.2172497243179,14.421096119111404
35.283173452640355,19.40711570705408,14.491153508731726
35.95253418985457,19.59979449981903,14.561179226092152
36.63072538713755,19.795348540722728,14.63117308538388
37.31720847824592,19.993840976333843,14.701134886775254
38.01140541398056,20.19533560264254,14.771064416305213
38.71270061848753,20.39989679924576,14.840961445776298
39.420443304207616,20.607589456363392,14.910825732647258
40.133950127292245,20.818478894291182,14.980657019925317
40.85250815972518,21.032630774896106,15.050455036058132
41.57537814918593,21.25011100476308,15.120219494825475
42.30179803298528,21.47098562960836,15.189950095230735
43.03098666830548,21.69532071958518,15.259646521392233
43.76214773758031,21.92318224512205,15.329308442434447
44.49447378522703,22.15463594295315,15.398935512379179
45.22715034014709,22.38974717202499,15.468527370036712
45.95936007747497,22.628580758993277,15.538083638897042
46.69028697298577,22.871200833060197,15.607603927021204
47.41912040435662,23.117670649944632,15.677087826932784
48.14505915508256,23.36805240482709,15.746534915509661
48.86731527921729,23.62240703416749,15.815944753876044
49.585117788172994,23.88079400635781,15.88531688729486
50.29771612448128,24.143271101242814,15.954650845060566
51.00438339158981,24.409894178621656,16.02394614039246
51.70441931333588,24.68071693592987,16.093202270328526
52.39715290158269,24.95579065539642,16.162418715619907
53.08194481550977,25.23516394107298,16.231594940626078
53.75818940109784,25.518882446242426,16.30073039321076
54.425316404330175,25.806988591830503,16.36982450463869
55.08279235644336,26.099521276567653,16.438876689473272
55.7301216341077,26.396515579776565,16.50788634547522
56.36684720162246,26.69800245779442,16.57685285350225
56.99255104600795,27.004008435175223,16.645775577409893
57.60685431921624,27.314555291956435,16.714653863953533
58.20941720453135,27.629659748413317,16.783487042691714
58.79993852656857,27.949333148862635,16.85227442589081
59.37815512610894,28.27358114621236,16.92101530843113
59.94384102232646,28.60240338908407,16.989708967714584
60.49680638580418,28.935793213457664,17.058354663573905
61.03689634612154,29.27373734090126,17.126951638183584
61.56398965776646,29.616215585550645,17.19549911597259
62.077997247727495,29.9632005720899,17.263996303538928
62.57886066739997,30.314657467055525,17.332442389566136
63.06655047044622,30.67054372583805,17.400836544741832
63.54106453703344,31.03080885778576,17.46917792167836
64.00242636348243,31.39539421182256,17.53746565483564
64.45068333484258,31.764232784974475,17.60569886044632
64.88590499630719,32.137249056155035,17.673876636443314
65.30818133773681,32.514358847487905,17.74199806238978
65.71762110390266,32.89546921534462,17.810062199411696
66.11435014142687,33.28047837314547,17.87806809013307
66.49850979180775,33.66927564781314,17.94601475861389
66.87025533839619,34.06174147158119,18.013901210290935
67.22975451375147,34.45774741064526,18.081726431921467
