paper_ic,fp1,fp2,fp4
700.7505659569626,34541.801621452,2254.467740871501,-1941.306012921095
720.425361219531,35024.7624348706,2317.408371297975,-1984.0160480461561
740.747101432295,35508.3096364993,2382.3027735777,-2026.4538971356244
761.7248653189922,35992.18505290932,2449.1974695783583,-2068.5234874747553
783.3682091336385,36476.12714591291,2518.1419214697858,-2110.127159919003
805.6871638854064,36959.87153363669,2589.1886433622662,-2151.1660537360744
828.692236739889,37443.15153649775,2662.3933250643804,-2191.540526660931
852.394416340818,37925.69874021628,2737.814967707822,-2231.150607966334
876.8051818391408,38407.24356949981,2815.5160310878714,-2269.896481850838
901.9365154527568,38887.51586721428,2895.5625926582206,-2307.678997923142
927.8009184113782,39366.245474775664,2978.024518199662,-2344.4002050271683
954.4114301679286,39843.16281020748,3062.975644255325,-2379.9639041180467
981.7816507814384,40317.999440855216,3150.493972491881,-2414.2762153783524
1009.9257663972288,40790.48864816718,3240.661876207369,-2447.2461542703804
1038.8585777688652,41260.36598227036,3333.5663192626616,-2478.786210768547
1068.5955317833698,41727.36980431582,3429.2990877655675,-2508.812925621124
1099.1527559669469,42191.241814759225,3527.9570348844177,-2537.2474571674184
1130.5470959632892,42651.72756589551,3629.642339211759,-2564.016131999581
1162.7961559907328,43108.57695709377,3734.462777138494,-2589.05097262102
1195.9183422983367,43561.54471128974,3842.532009734173,-2612.290195227763
1229.9329096546026,44010.39083139549,3953.9698846598585,-2633.678670834996
1264.8600109162203,44454.88103538484,4068.902753665505,-2653.168343195624
1300.7207497380714,44894.787168912,4187.463806243488,-2670.7185973152746
1337.5372364999052,45329.88759442309,4309.793420022927,-2686.2965728592967
1375.332647539763,45759.96755582614,4436.03952849485,-2699.8774173688716
1414.1312877994412,46184.81951789642,4566.358006654719,-2711.4444749481154
1453.9586570032254,46604.243479710014,4700.913075135227,-2720.9894069407196
1494.8415195078333,47018.047261518936,4839.877723376684,-2728.5122420680295
1536.807977979116,47426.046764605824,4983.434152343196,-2734.0213545315646
1579.887551069652,47828.06620378295,5131.774237237794,-2737.533369669732
1624.1112552910213,48223.93831232938,5285.10001059656,-2739.0729978762142
1669.511691295358,48613.50451928903,5443.624166047622,-2738.6727986096835
1716.1231348028402,48996.61509918088,5607.570582902827,-2736.3728774237793
1763.9816324351589,49373.12929429861,5777.174871604265,-2732.220519995235
1813.125102739832,49742.91540989994,5952.684939870926,-2726.2697681003947
1863.5934427165591,50105.85088270472,6134.361579178213,-2718.580943361744
1915.428640184792,50461.82232323342,6322.4790709500885,-2709.220125335076
1968.6748923613443,50810.72553262538,6517.325811545093,-2698.2585911167985
2023.3787310484377,51152.46549467514,6719.204954767552,-2685.7722241062856
2079.5891548659965,51486.95634391793,6928.43507022786,-2671.840899851423
2137.3577689975964,51814.12131067875,7145.350815403941,-2656.5478570331156
