H_i=0.0,H_i=10.0,H_i=50.0,H_i=100.0,H_i=1000.0
3020.335479477405,3451.518041140428,6269.06268836526,14596.610391253538,133155.41411570733
3063.289311000145,3508.104144952108,6434.317992090856,15154.942413150337,132420.2990439613
3106.9252712553707,3565.7652813801565,6604.646928657989,15734.215639423724,131685.88156089676
3151.258065026015,3624.527529823755,6780.218366636435,16334.967449737218,130952.39188094433
3196.302808402625,3684.417747571096,6961.206643731272,16957.721704169122,130220.04400726644
3242.075041141241,3745.463595046317,7147.791690649349,17602.985806184264,129489.03682869113
3288.5907394229853,3807.69356189743,7340.1591513231215,18271.247645645344,128759.55513848577
3335.866329029076,3871.13699395117,7538.50049862507,18962.972440107656,128031.77058078838
3383.918698945399,3935.824121061125,7743.013144623434,19678.599495535596,127305.8425300742
3432.7652154111934,4001.786085875932,7953.900544342867,20418.538910341416,126581.91890862715
3482.423736426847,4069.054973554725,8171.3722919019165,21183.16824918841,125860.13694660833
3532.912626736215,4137.663842457343,8395.64420780322,21972.82921522961,125140.62388896394
3584.250773299336,4207.6467558371005,8626.938416052068,22787.824351278032,124423.49765309256
3636.457601271851,4279.038814564167,8865.483409675013,23628.413801735653,123708.8674408927
3689.553090507891,4351.876190907747,9111.5141031028,24494.812167867123,122996.83430853592
3743.5577926036326,4426.196163405343,9365.2718697717,25387.185489122792,122287.49169705626
3798.492848499197,4502.037152847414,9627.00456318498,26305.648382646148,121580.92592661158
3854.380006656992,4579.438759405597,9896.96651956253,27250.26137181736,120877.21665705541
3911.241641835068,4658.441800932508,10175.418540092747,28221.02843268847,120176.4373172578
3969.100774474492,4739.08835246078,10462.627850687437,29217.894784487857,119478.65550542901
4027.981090720185,4821.421786928552,10758.868037029482,30240.744947074,118783.93336252935
4087.906963095106,4905.486817158017,11064.41895259565,31289.401084394405,118092.32792069156
4148.903471848084,4991.329539112843,11379.566597234763,32363.621648777076,117403.89142843691
4210.996426996004,5078.997476459343,11704.602963786856,33463.100336394855,116718.67165433265
4274.212391081451,5168.539626455085,12039.8258501436,34587.46535966353,116036.71217061511
4338.578702667303,5260.006507187269,12385.538634077018,35736.27903783614,115358.0526181889
4404.123500590084,5353.45020618151,12742.050008104412,36909.03770281619,114682.72895430763
4470.875748994241,5448.92443039983,13109.673671615768,38105.17191339667,114010.77368414498
4538.865263169798,5546.484557644378,13488.727977468325,39324.04696788726,113342.21607737527
4608.122736216087,5646.1876893809085,13879.535530254738,40564.96370253626,112677.0823708005
4678.679766554484,5748.092704993149,14282.422733479689,41827.15956136559,112015.39595798441
4750.568886313236,5852.260317475877,14697.719282938093,43109.80992205279,111357.17756678408
4823.823590607611,5958.753130570851,15125.757603679804,44412.02966230093,110702.44542560459
4898.478367738606,6067.635697345552,15566.872228074291,45732.8749516771,110051.21541914227
4974.568730333504,6178.974580210015,16021.39911265728,47071.34525506877,109403.50123432686
5052.131247451419,6292.838412361817,16489.674891653365,48426.38553556404,108759.31449712151
5131.203577676853,6409.2979606434765,16972.036065326556,49796.88864653533,108118.66490079256
5211.824503223967,6528.426189790075,17468.81812161744,51181.69790481052,107481.56032621709
5294.033965073948,6650.298328037759,17980.35458988314,52579.60983885699,106848.00695475594
5377.873099167324,6774.99193405592,18506.97602596593,53989.37710769913,106218.00937418245
5463.384273672475,6902.586965157152,19049.00892827908,55409.71158767479,105591.57067812275
5550.61112735084,7033.165846729565,19606.774585114188,56839.28762497705,104968.69255943118
5639.598609038365,7166.813542825553,20180.587853941983,58276.74545213264,104349.375397895
5730.39301826168,7303.6176278296925,20770.75587409623,59720.69476608566,103733.61834263512
5823.042047006178,7443.668359115929,21377.576714894865,61169.7184643847,103121.41938954394
5917.594822651708,7587.058750590603,22001.33796195957,62622.37653415246,102512.77545407816
6014.101952089824,7733.884647003043,22642.31524523865,64077.210086134575,101907.68243970252
6112.615567034615,7884.244798889375,23300.77071301195,65532.74552329274,101306.13530225997
6213.189370536855,8038.240937997781,23976.95145695201,66987.49883026935,100708.12811052539
6315.878684708665,8195.977853024557,24671.08789412345,68439.9799667615,100113.65410318233
6420.740499663061,8357.563465470046,25383.392112612422,69888.69734456342,99522.70574244621
6527.833523669471,8523.108905401541,26114.056188278137,71332.16236492363,98935.27476454235
6637.218234522762,8692.72858688675,26863.25048089681,72768.89399006011,98351.3522272334
6748.956932119271,8866.540282836108,27631.12191871246,74197.42332030553,97770.92855457771
6863.113792228884,9044.665198965182,28417.792281105256,75616.29814651342,97193.99357908833
6979.75492144725,9227.228046559489,29223.35648972453,77024.08744611448,96620.53658145093
7098.948413306781,9414.357113693222,30047.88091899672,78419.38579061106,96050.54632794883
7220.764405518999,9606.184334520622,30891.40173739736,79800.81763234893,95484.01110573349
7345.275138314245,9802.8453562239,31753.923291260387,81167.0414390973,94920.91875606985
7472.555013837399,10004.479603164862,32635.416543177016,82516.75364626356,94361.2567056778
7602.680656550353,10211.230337748462,33535.817577205125,83848.69239841534,93805.01199628282
7735.730974583219,10423.244717465644,34455.02618316062,85161.64105411194,93252.17131248208
7871.787221966766,10640.673847539889,35392.90453219325,86454.43143078171,92702.72100802531
8010.933061668211,10863.672828556972,36349.2759556587,87725.94676944027,92156.64713060329
8153.254629341232,11092.400798410605,37323.923838988034,88975.12440234145,91613.93544523143
8298.84059768886,11327.020967848,38316.5906418282,90200.95811010622,91074.57145630998
8447.782241324674,11567.700648849126,39326.97705518802,91402.50015840528,90538.54042843748
8600.17350200341,11814.611275021514,40354.74130568068,92578.86300780562,90005.82740604953
8756.111054076682,12067.928413139438,41399.49861621312,93729.22069386436,89476.41723195006
8915.694370012869,12327.8317649021,42460.820831645615,94852.80987790448,88950.29456479858
9079.025785802349,12594.505157930582,43538.23621703919,95948.93057208994,88427.44389561273
9246.210566050073,12868.13652496808,44631.22943513526,97016.94654538724,87907.84956334205
9417.35696853696,13148.917870192769,45739.2417086794,98056.28541972509,87391.49576956534
9592.576308009524,13437.045221498032,46861.67117211841,99066.43846811824,86878.36659236076
9771.983018933835,13732.718567541331,47997.87341607464,100046.9601286868,86368.44599939529
9955.694716924863,14036.141778311214,49147.16222683992,100997.46725036696,85861.71786027683
10143.832258535753,14347.522507912729,50308.81052193956,101917.63808767089,85358.16595821001
10336.519799063506,14667.07207822556,51482.05148159851,102807.21106310944,84857.77400099437
10533.884847997777,14995.00534204731,52666.079874701645,103665.98331685088,84360.52563140092
10736.058321708137,15331.540524297614,53860.05357658057,104493.80906385968,83866.4044369616
10943.174592932186,15676.899039828231,55063.0952746844,105290.59777915783,83375.39395920347
11155.371536592238,16031.305286360954,56274.29435690549,106056.31223199262,82887.4777023582
11372.790571432066,16394.98641106025,57492.70897603696,106790.9663895995,82402.6391415752
11595.576696927474,16768.17204924266,58717.368282544456,107494.623210939,81920.86173066557
11823.878524885133,17151.094033730853,59947.2748165463,108167.39235028387,81442.12890940193
12057.848305103487,17543.98607337888,61181.40704862474,108809.427789862,80966.4241103984
12297.641944427594,17947.083399327683,62418.72205784772,109420.9254199449,80493.73076559299
