M_i=100.0,M_i=400.0,M_i=1000.0
4.459699010333793,5.244035406805426,6.506501446779931
4.496262652916961,5.296699825760444,6.5850800454680805
4.532857580425486,5.349708268212379,6.664562822953671
4.569484749281918,5.403068000707178,6.744970848391103
4.6061451516524645,5.456786470662751,6.826325749517613
4.642839815396986,5.510871310520803,6.908649728330727
4.679569804036005,5.565330342051985,6.991965577249272
4.716336216734773,5.6201715808188615,7.076296695767022
4.753140188304455,5.675403240801327,7.1616671076077685
4.789982889220493,5.731033739189279,7.2481014783903
4.826865525658249,5.78707170134751,7.335625133811376
4.863789339545996,5.843525965957936,7.4242640783543195
4.900755608635371,5.90040559034447,7.5140450145303275
4.93776564658941,5.957719855986006,7.60499536265895
4.97482080308828,6.015478274223153,7.697143281193496
5.011922463952844,6.07369059216457,7.790517687596297
5.04907205128623,6.132366798798867,7.885148279767817
5.086271023633532,6.191517131318324,7.981065558032569
5.123520876159844,6.251152081660758,8.078300847683588
5.160823140846809,6.31128240327617,8.176886322085922
5.1981793867078565,6.371919118124894,8.27685502633807
5.235591220022387,6.433073523914262,8.37824090148871
5.273060284589077,6.494757201580924,8.481078809304154
5.310588261998581,6.556982023026217,8.585404557580052
5.348176871925866,6.619760159112133,8.691254925988476
5.385827872442444,6.683104087925684,8.798667692449223
5.423543060348786,6.74702660331963,8.907681660011324
5.461324271527216,6.8115408237377535,9.018336684227856
5.499173381315586,6.876660201333068,9.130673701003888
5.537092304902061,6.942398531387535,9.244734754893816
5.575082997741359,7.008769962042081,9.360563027820488
5.613147455992793,7.07578900434587,9.478202868184301
5.651287716980502,7.1434705426340095,9.597699820325854
5.689505859676239,7.211829845243021,9.719100654300794
5.727804005205155,7.280882575573593,9.842453395920078
5.766184317374967,7.350644803510305,9.967807357003071
5.804649003228985,7.421133017208159,10.09521316578464
5.843200313623439,7.492364135255897,10.224722797410571
5.881840543829604,7.564355519226218,10.356389604448442
5.9205720341612045,7.637124986623124,10.490268347333197
5.959397170627636,7.710690824236703,10.626415224658343
5.998318385613539,7.785071801915753,10.7648879032147
6.037338158585291,7.860287186768671,10.90574554766907
6.076459016824999,7.936356757803092,11.049048849765036
6.115683536192607,8.013300821014711,11.194860056917168
6.155014341916747,8.091140224935714,11.343243000058505
6.194454109414985,8.169896376653144,11.494263120588904
6.234005565144157,8.24959125830741,11.647987496259008
6.273671487481489,8.330247444080983,11.804484865810968
6.313454707637238,8.411888117687093,11.963825652182795
6.353358110599618,8.494537090367956,12.1260819840682
6.393384636112802,8.578218819411747,12.291327715608125
6.4335372796888,8.662958427197072,12.459638443973805
6.473819093654091,8.748781720773259,12.631091524584232
6.514233188231862,8.835715211984157,12.805766083683254
6.55478273266077,8.92378613814252,12.983743027983444
6.595470956351183,9.013022483261226,13.165105051065142
6.636301150079861,9.10345299984677,13.34993663620007
6.677276667224097,9.195107231259396,13.538324055249413
6.718400925036368,9.28801553464318,13.730355363266698
6.759677405960573,9.382209104428023,13.926120388415965
6.801109658990991,9.477719996404169,14.125710716796068
6.842701301075118,9.574581152368172,14.329219671742367
6.884456018561584,9.672826425337584,14.536742287158006
6.92637756869441,9.7724906053295,14.748375274408373
6.9684697811548695,9.87360944569606,14.96421698229471
7.010736559652321,9.976219690007529,15.184367349606207
7.053181883565369,10.080359099470854,15.408927849734708
7.095809809634797,10.186066480868844,15.638001426822678
7.138624473709739,10.293381715001674,15.871692422903605
7.1816300925486365,10.402345785609104,16.110106495484978
7.224830965676547,10.513000808747872,16.353350525017746
7.268231477300452,10.625390062594532,16.60153251169321
7.311836098284257,10.73955801763945,16.854761461008966
7.355649388185228,10.855550367232771,17.113147257550324
7.399675997353683,10.973414058437736,17.376800526443184
7.443920669097817,11.093197323140911,17.645832481948844
7.488388241915571,11.21494970936272,17.920354762691456
7.53308365179559,11.338722112704682,18.200479253035166
7.578011934589298,11.464566807862722,18.486317890160905
7.623178228456259,11.59253748012781,18.777982456432813
7.668587776385016,11.722689256786976,19.07558435669185
7.714245928791721,11.855078738328602,19.37923438016964
7.760158146198884,11.989764029346334,19.689042446779485
7.806330001996715,12.1268047690256,20.00511733761392
7.852767185289561,12.266262161085844,20.32756640955956
7.899475503830057,12.408199003039943,20.65649529403036
7.94646088704368,12.552679714619869,20.992007579919925
7.993729389146488,12.699770365204737,21.334204480981878
8.041287192358913,12.849538700073555,21.683184487964773
8.089140610218594,13.002054165290508,22.039043005953776
8.137296090995283,13.1573879310154,22.401871977505255
8.185760221211018,13.315612913016086,22.77175949230177
8.23453972926881,13.47680379214295,23.148789384202818
8.283641489193228,13.64103703150838,23.53304081672034
8.333072524486337,13.808390891096238,23.924587858106044
8.382840012102616,13.978945439507868,24.323499047398922
8.432951286546519,14.152782562532256,24.729836952944375
8.483413844096528,14.32998596820848,25.143657725059445
8.534235347159608,14.51064118802887,25.565010644680072
8.585423628760154,14.694835573911332,25.99393766998413
8.636986697167591,14.882658290549104,26.430472983136095
8.68893274066695,15.07420030272623,26.874642539443755
8.741270132476853,15.269554357167126,27.326463621351884
