M_i=100.0,M_i=400.0,M_i=1000.0
4.063043904074723,4.243837241075718,4.57057984250843
4.067492217338158,4.2608188976267645,4.609315770916937
4.072138343581711,4.278534092680148,4.649631046180411
4.076985802884284,4.29699433084458,4.691544060607645
4.082038065490913,4.316210879914941,4.735072539545592
4.087298553084364,4.336194778256966,4.780233571688019
4.09277064007751,4.35695684237164,4.827043639994077
4.098457654922609,4.378507674624209,4.875518653163554
4.104362881434046,4.400857671124528,4.925673977619778
4.110489560121513,4.4240170297470165,4.977524469955013
4.116840889530982,4.447995758279927,5.031084509796636
4.123420027591123,4.472803682694903,5.086368033055565
4.130230092963148,4.49845045552896,5.143388565521336
4.137274166392327,4.524945564372068,5.20215925677087
4.144555292059637,4.552298340454427,5.2626929143604455
4.1520764789322735,4.580517967328398,5.32500203827269
4.159840702111903,4.609613489640796,5.389098855592545
4.167850904179754,4.639593821991942,5.454995355388137
4.176109996537777,4.670467757878512,5.522703323774416
4.184620860745274,4.702243978717763,5.59223437913919
4.193386349850512,4.734931062951232,5.663600007512913
4.202409289716969,4.768537495226503,5.736811598065231
4.211692480343968,4.803071675655999,5.8118804787128715
4.221238697181537,4.83854192915221,5.888817951825001
4.231050692439444,4.87495651483907,5.967635330013712
4.241131196390429,4.912323635539557,6.04834397199873
4.251482918667711,4.950651447339857,6.130955318536919
4.26210854955695,4.989948069230749,6.215480928408579
4.273010761282852,5.03022159282708,6.301932514453975
4.284192209290717,5.071480092166482,6.390321979654928
4.2956555335232265,5.113731633588671,6.480661453257725
4.30740335969284,5.156984285696908,6.572963326935027
4.3194383005502095,5.201246129403388,6.667240290985848
4.33176295714903,5.246525268060519,6.763505370574119
4.344379920107812,5.2928298376802445,6.861771962007762
4.357291770869064,5.340168017243741,6.962053869061647
4.3705010829564,5.388548039103981,7.064365339349236
4.384010423230134,5.437978199483859,7.1687211007491936
4.397822353141906,5.488466869072724,7.2751363978946735
4.411939429988944,5.540022503724326,7.383627028734515
4.426364208168544,5.59265365525939,7.494209381177023
4.441099240433389,5.646368982376169,7.606900469828547
4.456147079148338,5.701177261672514,7.721717972840555
4.4715102775493225,5.757087398783194,7.838680268880438
