D=0.0 mm^2/w,D=0.1 mm^2/w,D=0.2 mm^2/w,D=0.3 mm^2/w,D=0.4 mm^2/w,D=0.5 mm^2/w,D=0.6 mm^2/w,D=0.7 mm^2/w,D=0.8 mm^2/w,D=0.9 mm^2/w
920.3027636541192,920.2990839044006,920.2762709528532,920.222149861738,920.1301703495164,919.9977368539342,919.8249628428608,919.6137497841764,919.367113479746,919.0886979231129
933.4628213511426,933.4588813264156,933.4344950195176,933.3767458435154,933.27877685542,933.1379676923308,932.954580682058,932.7307645638726,932.4698295551998,932.1757272365174
946.8127567726108,946.8085414080616,946.7824938972542,946.720922213309,946.616656184966,946.4670595804856,946.2725603487326,946.0355742307008,945.7597256165848,945.4492918010692
960.354339218422,960.3498327566213,960.322032366303,960.2564358005196,960.1455534127354,959.9867429387476,959.780615778708,959.5298754132622,959.238481002783,958.9110543217323
974.0893758619728,974.0845618282568,974.0549129306594,973.9850809237788,973.867250793956,973.6987850307596,973.4804974242124,973.2154009675498,972.9078110441098,972.562713316942
988.0197126312672,988.0145738084228,987.9829766953296,987.9086902630804,987.7835686309264,987.6049908247198,987.3739931110782,987.0939208312258,986.7694679145026,986.406003969092
1002.1472351389996,1002.1417535412317,1002.108104292448,1002.0291357806232,1001.8963661879628,1001.7072039029516,1001.4629289440036,1001.167242925674,1000.8252415311624,1000.4426990221076
1016.4738696613724,1016.4680265075348,1016.432216856016,1016.3483296901138,1016.207542654608,1016.0073074195036,1015.7491702595812,1015.4372141055215,1015.0769605013228,1014.6746097257665
1031.0015841654813,1030.9953598515458,1030.9572770450793,1030.8682254743433,1030.7190381569017,1030.5072251055649,1030.2346226268642,1029.9057211553793,1029.526493115878,1029.1035868264903
1045.732389385153,1045.725763455896,1045.6852901152367,1045.5908189509148,1045.4328348165748,1045.2089223225491,1044.921232895305,1044.5746918336197,1044.1757483896815,1043.7315216043946
1060.6683399451945,1060.6612910650726,1060.618305038419,1060.5181493860573,1060.3509578580947,1060.1144071627475,1059.8109902899496,1059.4460959630642,1059.0266771483589,1058.5603469564405
