evolving_asym_D=0.4,evolving_sym_D=0.4
45088.97588850757,38534.541025949904
44633.63048780322,38145.71395207882
44182.98010308259,37761.36004170357
43737.00011535274,37381.43838529142
43295.66503477268,37005.9080984745
42858.94855639099,36634.72833998537
42426.82361329571,36267.858328565824
41999.26242729524,35905.25735890306
41576.23655724368,35546.88481664404
41157.71694511848,35192.70019253631
40743.67395995326,34842.6630957408
40334.07743972395,34496.73326635976
39928.89673128151,34154.87058722057
39528.10072842042,33817.035094953884
39131.65790816777,33483.186990402835
38739.5363653738,33153.28664839754
38351.70384568096,32827.29462692778
37968.12777694508,32505.171675744743
37588.775299178575,32186.878744421032
37213.61329308249,31872.376989896784
36842.60840723109,31561.62778353809
36475.72708396957,31254.59271773262
36112.93558408291,30951.233612046002
35754.200010290784,30651.512518961317
35399.48632962143,30355.391729222825
35048.76039471443,30062.833776804036
34701.987964100335,29773.801443519093
34359.13472150275,29488.25776329553
34020.16629420642,29206.166026125476
33685.048270532854,28927.489781711563
33353.74621646305,28652.192842822868
33026.22569144521,28380.239288375516
32702.452263423424,28111.593466251816
32382.39152312185,27846.219995871015
32066.009097617123,27584.083770524205
31753.270663230465,27325.149959485207
31444.14195776936,27069.384009908677
31138.58879214738,26816.751648526137
30836.57706140953,26567.21888315005
30538.07275518905,26320.752003995618
30243.041967620597,26077.317584829438
29951.450906733666,25836.882483953726
29663.26590334884,25599.4138450344
29378.45341949858,25364.87909778087
29096.98005639331,25133.24595848504
28818.812561952604,24904.4824304266
28543.91783792033,24678.556804151427
28272.2629465819,24455.43765762947
28003.81511710089,24235.09385629831
27738.54175149156,24017.494552998156
27476.410430242995,23802.609187803886
27217.38891761016,23590.407487759374
26961.44516658608,23380.859466519138
26708.547323569117,23173.935423902116
26458.663732738507,22969.6059453621
26211.76294015082,22767.841901379186
25967.81369756936,22568.614446776413
25726.784966038173,22371.895019965435
25488.64591921168,22177.655342125112
25253.36594645051,21985.8674163165
25020.91465569376,21796.503526537712
24791.261876117234,21609.53623672187
24564.37766058718,21424.93838968129
24340.23228791816,21242.68310600083
24118.79626494377,21062.743782883234
23900.040328408333,20885.094092949188
23683.93544668724,20709.707982994638
23470.452821343628,20536.559672707834
23259.563888528424,20365.62365334843
23051.240320230663,20196.874686390925
22845.454025384657,20030.287802134513
22642.177150840347,19865.838298281444
22441.38208220283,19703.50173848582
22243.0414445469,19543.253950874678
22047.128103012143,19385.07102654318
21853.61516328388,19228.929318025566
21662.47597196509,19074.80543774353
21473.684116844222,18922.67625643357
21287.213427063525,18772.518901554784
21103.03797319245,18624.310755678554
20921.13206721044,18478.02945486148
20741.470262403185,18333.652887002834
20564.027353176418,18191.15919018785
20388.77837479093,18050.52675101796
20215.6986030226,17911.734202929198
20044.7635537508,17774.760424499815
19875.94898247868,17639.584537748153
19709.230883788485,17506.18590642184
19544.585490734986,17374.5441342792
19381.98927418006,17244.63906336384
19221.418942071257,17116.450772273285
19062.851438667065,16989.95957442253
18906.263943711547,16865.14601630329
18751.633871560865,16741.99087573975
18598.938870264108,16620.47516014158
18448.156820600765,16500.58010475489
18299.265835077094,16382.287170911844
18152.244256883543,16265.57804427962
18007.07065881522,16150.434633109286
17863.723842157546,16036.839066485267
17722.182835538824,15924.773692575965
17582.4268937517,15814.221076886088
17444.435496545204,15705.164000511246
17308.18834738907,15597.585458395337
17173.665372212006,15491.468657591204
17040.846718115423,15386.797015525071
16909.712752064162,15283.554158265217
16780.244059555676,15181.723918795306
16652.421443269006,15081.290335292855
16526.225921694946,14982.23764941321
16401.63872774866,14884.550304579445
16278.641307365964,14788.212944278574
16157.2153180845,14693.210410364432
16037.34262761093,14599.527741367601
15919.005312375248,14507.150170812693
15802.185656073265,14416.06312554336
15686.86614819829,14326.252224055323
15573.02948256301,14237.703274837726
15460.658555812446,14150.402274723136
15349.736465928972,14064.335407246448
15240.246510730212,13979.489041012992
15132.172186360682,13895.849728076084
15025.49718577797,13813.404202324307
14920.205397234247,13732.139377878751
14816.280902753844,13652.042347500446
14713.707976607617,13573.100381008238
14612.4710837848,13495.300923707317
14512.554878463015,13418.631594828605
14413.944202477063,13343.080185979237
14316.624083787145,13268.634659604311
14220.579734947052,13195.283147460099
14125.796551573005,13123.013949098926
14032.26011081354,13051.815530365884
13939.956169821126,12981.676521907546
13848.870664225917,12912.58571769286
13758.989706612172,12844.532073546388
13670.299584997843,12777.50470569403
13582.786761317711,12711.492889321386
13496.437869910593,12646.486057144926
13411.239716010974,12582.473797996068
13327.179274245538,12519.445855418327
13244.243687134907,12457.392126277657
13162.42026360104,12396.3026593861
13081.696477480617,12336.16765413889
13002.059966044735,12276.97745916509
12923.498528525342,12218.72257099191
12846.000124648595,12161.39363272278
12769.552873175577,12104.981432729315
12694.145050450592,12049.476903357237
12619.765088957383,11994.871119646376
12546.401575883488,11941.155298064821
12474.043251693043,11888.320795257336
12402.6790087083,11836.35910680808
12332.297889700036,11785.26186601776
12262.889086487168,11735.02084269526
12194.441938545766,11685.627941963836
12126.945931627655,11637.075203081939
12060.390696388886,11589.354798278739
11994.76600702818,11542.459031604405
11930.061779935646,11496.38033779521
11866.268072351864,11451.111281153511
11803.375081037568,11406.644554442668
11741.373140954078,11362.972977796942
11680.252723954649,11320.089497646426
11620.004437486885,11277.987185657057
11560.61902330639,11236.659237685742
