D=0.0 mm/w,D=0.1 mm/w,D=0.2 mm/w,D=0.3 mm/w,D=0.4 mm/w,D=0.5 mm/w,D=0.6 mm/w,D=0.7 mm/w,D=0.8 mm/w,D=0.9 mm/w
3660.197660193811,3659.341198880221,3658.267621408937,3659.53793739977,3663.185901583259,3668.253821592944,3673.8817536199854,3679.538822813073,3684.956600990656,3690.0239214564176
3644.418513163603,3643.584644494237,3642.5975647031432,3643.983176811561,3647.739024097372,3652.892987778857,3658.5842781878414,3664.286113172198,3669.734766887468,3674.82291923035
3628.5908423158935,3627.779342503965,3626.877598226623,3628.3764186425833,3632.2375922764254,3637.474989310223,3643.227211489309,3648.9716610204378,3654.44932390752,3659.5567006560354
3612.718746841816,3611.92939427545,3611.11183661832,3612.7218062234033,3616.685791286114,3622.004061072576,3627.814840913157,3633.5998054327433,3639.104659955949,3644.229698712873
3596.8062028332365,3596.0387780953147,3595.304271436504,3597.0233596469816,3601.087682673026,3606.484313733065,3612.351328864784,3618.174759634482,3623.705036177521,3628.8462187061064
3580.8570662776046,3580.1113521615257,3579.4587741347577,3581.2849787248933,3585.44720730189,3590.919736662808,3596.840715678929,3602.700613909635,3608.254589864666,3613.410441178096
3564.87507600985,3564.1508575314883,3563.57909899644,3565.510445903755,3569.7681882550314,3575.314200823423,3581.2869224984047,3587.1813384766538,3592.757337334609,3597.926424789906
3548.8638566195887,3548.1609210257134,3547.668886025782,3549.7034291399364,3554.054333691948,3559.671461615536,3565.6937541165053,3571.6207863295253,3577.2171767730288,3582.3981091705377
3532.82692131212,3532.1450580855285,3531.731663794053,3533.8674847308585,3538.309239667221,3543.9951616873327,3550.064901781064,3556.0226960418818,3561.6378910419603,3566.829317731423
3516.7676747219302,3516.106675583533,3515.7708522394114,3518.006060101441,3522.536392905189,3528.2888337014783,3534.4039459583328,3540.3906945322296,3546.0231504499234,3551.2237604440706
3500.68941567762,3500.0490745857023,3499.789765419314,3502.122496544441,3506.739173530029,3512.555903058932,3518.7143590551264,3524.728299788626,3530.3765154825064,3535.5850365789984
3484.59533991736,3483.975453064232,3483.791614214502,3486.2200319136487,3490.9208577501054,3496.7996905784057,3502.9995080978624,3509.0389235513458,3514.701439491853,3519.916637404323
3468.488542754161,3467.8889085603982,3467.779508983804,3470.301803269074,3475.0846204956283,3481.023415130417,3487.2626573673474,3493.3258739522853,3499.0012713437186,3504.2219488425953
3452.3720216903994,3451.792440796868,3451.756462169127,3454.370849473436,3459.2335380088307,3465.2301962250403,3471.506970988333,3477.592358110049,3483.2792580209584,3488.5042540846707
3436.2486789811915,3435.688954239025,3435.725390850172,3438.430113739408,3443.370590386045,3449.4230565526555,3455.7355154730385,3461.8414846798305,3467.5385471824866,3472.766736159582
3420.12132414634,3419.581260605048,3419.6891192485523,3422.482446127229,3427.498664071201,3433.6049244771266,3439.951262218004,3446.07626635737,3451.782189676916,3457.012480459571
3403.9926764307093,3403.472081324571,3403.650381181111,3406.530605992422,3411.6205543004016,3417.77863648099,3424.157089953765,3430.299622336419,3436.013142010246,3441.2444772195804
3387.8653672129967,3387.3640499458897,3387.6118224623583,3390.577264383455,3395.738967497361,3401.94693956236,3408.355787146996,3414.5143807192776,3420.234268767105,3425.4656239506553
3371.741942362963,3371.259714491768,3371.576003256051,3374.625006389336,3379.8565236196014,3386.11249358338,3392.550054354865,3398.723280880105,3404.4483449851814,3409.6787278268507
3355.6248645472924,3355.1615397640053,3355.545400376034,3358.676333437185,3363.9757584554086,3370.277873570151,3376.7425065314983,3382.9289757808137,3388.6580584826147,3393.8865080253527
