first_checkpoint_271.0,second_checkpoint_283.0,end_evolution_300.0
,,
,,
152.36923901944564,152.36899311069806,152.36867868000192
,,
,,
,,
,,
510.2842999321393,510.28425701255605,510.2842021157061
566.787482801907,566.7874455486862,566.7873978967065
497.5094113348175,497.50937802464273,497.50933542410974
281.80208404517447,281.8019722519659,281.8018292739765
464.090476962776,464.0904451118849,464.0904043811646
167.63907607072764,167.63882064501104,167.63849400498265
350.61925171841466,350.6191766738978,350.6190806984853
,,
293.17133967192456,293.171250910544,293.1711373218044
488.61178931898337,488.6117601662007,488.6117228880576
135.73556794011597,135.73513130976232,135.7345728980473
183.5966513982043,183.59644092250872,183.59617176722944
411.7461205271961,411.7460741240568,411.7460147744507
85.25461178980596,85.25385859592144,85.25289537348628
,,
576.4303716278633,576.4303413557828,576.4303026350589
403.3783447678018,403.3782994585436,403.37824151605673
,,
555.8054954578513,555.8054675561585,555.8054318724182
,,
285.9284633203308,285.9283605860204,285.92822918842745
,,
,,
75.16617428860727,75.16642255153451,75.16674190224981
288.850799817915,288.8506834569659,288.8505346096295
206.0176736150414,206.0174243389432,206.01710549497938
,,
412.09382290643225,412.0937580145058,412.0936749904479
137.25273133002224,137.25237975617478,137.25193016453733
142.6432442411901,142.64287901467225,142.64241194139902
261.3914246033542,261.3913278284588,261.3912040769126
543.9066020933616,543.9065687185126,543.9065260342775
170.27567335598113,170.27534648420948,170.27492841734568
138.7814316697468,138.78107977620928,138.7806297717121
535.0149746313987,535.0149449921702,535.0149070855576
,,
442.5744593471704,442.5744208659213,442.5743716545151
275.0325469344159,275.0324380338194,275.03229876387206
182.6511140515913,182.6508307446532,182.65046840765993
,,
314.5843839001407,314.5842950349329,314.5841813855159
,,
450.2837521150381,450.2837224824159,450.28368458983573
244.41142289933632,244.41131055202408,244.41116688789913
,,
460.21388560428,460.21385219591485,460.21380947241886
421.902429393576,421.90238835356416,421.9023358704569
142.28393388199376,142.28356176282065,142.28308584272267
90.7592860717336,90.75851704902506,90.75753347139205
,,
415.4309293500559,415.4308994727829,415.430861268384
272.5598702160811,272.5597564914824,272.55961096128374
,,
432.3486210691966,432.3485851192605,432.3485391463732
,,
,,
343.3209547952636,343.3209138336868,343.3208614588707
398.268797254978,398.26876149738615,398.26871577227246
,,
243.27728305378844,243.2771555749573,243.27699254945585
,,
264.2997754974754,264.2996735951996,264.2995432792486
401.5874561676119,401.58739505993066,401.5873168815859
580.4198905925139,580.4198636471205,580.4198291848903
430.57158568398137,430.57153292752247,430.571465439615
202.16530225107368,202.16508137367904,202.16479888834002
270.7930829382258,270.79301173140726,270.79292068207224
,,
260.3853014965311,260.38516914109124,260.3849998617325
,,
,,
309.2986064911685,309.29850448027315,309.29837397725373
