time,value_C
1.22,7.08872074352517
1.23,7.153809955029098
1.24,7.219665956909199
1.25,7.286293932511791
1.26,7.353699291689127
1.27,7.421887676542434
1.28,7.4908649672003325
1.29,7.560637287636977
1.3,7.631211011534408
1.31,7.702592768193665
1.32,7.7747894484993845
1.33,7.847808210942651
1.34,7.921656487707061
1.35,7.996341990823015
1.36,8.071872718395417
1.37,8.14825696091007
1.38,8.225503307624175
1.39,8.303620653046508
1.4,8.382618203512925
1.41,8.462505483863044
1.42,8.543292344224046
1.43,8.624988966907704
1.44,8.707605873426896
1.45,8.791153931637995
1.46,8.875644363015695
1.47,8.961088750066992
1.48,9.047499043891188
1.49,9.134887571892971
1.5,9.223267045655778
1.51,9.312650568982834
1.52,9.403051646113447
1.53,9.494484190122305
1.54,9.586962531509723
1.55,9.680501426990999
1.56,9.7751160684932
1.57,9.870822092367964
1.58,9.96763558882906
1.59,10.065573111623685
1.6,10.16465168794676
1.61,10.264888828607608
1.62,10.36630253845874
1.63,10.468911327096672
1.64,10.572734219844952
1.65,10.677790769029855
1.66,10.784101065559446
1.67,10.891685750817025
1.68,11.00056602888022
1.69,11.110763679077294
1.7,11.222301068892563
1.71,11.335201167233082
1.72,11.449487558069132
1.73,11.565184454461317
1.74,11.682316712987465
1.75,11.800909848582844
1.76,11.920990049807575
1.77,12.042584194555488
1.78,12.16571986621905
1.79,12.290425370325377
1.8,12.416729751658746
1.81,12.544662811885432
1.82,12.674255127697098
1.83,12.80553806948943
1.84,12.938543820593125
1.85,13.073305397074797
1.86,13.209856668125829
1.87,13.348232377057682
1.88,13.48846816292265
1.89,13.630600582779527
1.9,13.774667134624197
1.91,13.92070628100564
1.92,14.068757473348377
1.93,14.218861177002932
1.94,14.3710588970464
1.95,14.5253932048558
1.96,14.68190776547742
1.97,14.840647365815954
1.98,15.001657943667775
1.99,15.164986617623319
2.0,15.330681717864094
2.01,15.498792817880426
2.02,15.669370767136682
2.03,15.842467724711256
2.04,16.018137193939236
2.05,16.196434058086243
2.06,16.377414617082536
2.07,16.561136625347032
2.08,16.74765933073153
2.09,16.937043514615898
2.1,17.129351533185652
2.11,17.324647359923787
2.12,17.5229966293493
2.13,17.724466682035352
2.14,17.929126610940422
2.15,18.137047309086324
2.16,18.348301518617305
2.17,18.56296388127485
2.18,18.781110990323107
2.19,19.002821443960112
2.2,19.22817590025026
2.21,19.45725713361354
2.22,19.69015009290716
2.23,19.926941961135213
2.24,20.167722216821872
2.25,20.41258269708345
2.26,20.661617662434384
2.27,20.914923863361693
2.28,21.172600608702012
2.29,21.4347498358545
2.3,21.701476182862166
2.31,21.972887062393013
2.32,22.249092737651303
2.33,22.53020640024769
2.34,22.81634425005543
2.35,23.107625577077926
2.36,23.40417284535067
2.37,23.7061117788983
2.38,24.013571449764637
2.39,24.326684368130486
2.4,24.645586574530608
2.41,24.97041773417726
2.42,25.301321233393615
2.43,25.638444278155475
2.44,25.98193799473456
2.45,26.331957532430902
2.46,26.688662168375494
2.47,27.052215414377528
2.48,27.422785125782855
2.49,27.800543612302132
2.5,28.185667750758064
2.51,28.578339099691345
2.52,28.97874401575424
2.53,29.387073771809206
2.54,29.803524676637416
2.55,30.22829819614853
2.56,30.661601075968395
2.57,31.103645465265643
2.58,31.554649041661087
2.59,32.01483513704563
2.6,32.4844328641127
2.61,32.96367724339021
2.62,33.452809330534436
2.63,33.952076343624114
2.64,34.4617317901672
