time,value_D
6.08,0.5618143991210418
6.09,0.5613468091280894
6.1,0.5608962698625387
6.11,0.5604625491585423
6.12,0.5600454193629083
6.13,0.5596446572298781
6.14,0.5592600438183671
6.15,0.5588913643916099
6.16,0.558538408319152
6.17,0.5582009689811341
6.18,0.5578788436748134
6.19,0.5575718335232694
6.2,0.5572797433862425
6.21,0.5570023817730546
6.22,0.5567395607575631
6.23,0.5564910958950989
6.24,0.5562568061413425
6.25,0.5560365137730919
6.26,0.5558300443108773
6.27,0.5556372264433797
6.28,0.5554578919536088
6.29,0.5552918756468024
6.3,0.5551390152800013
6.31,0.5549991514932655
6.32,0.5548721277424891
6.33,0.5547577902337779
6.34,0.5546559878593533
6.35,0.554566572134945
6.36,0.5544893971386389
6.37,0.5544243194511455
6.38,0.5543711980974552
6.39,0.5543298944898487
6.4,0.5543002723722301
6.41,0.5542821977657517
6.42,0.5542755389157011
6.43,0.5542801662396208
6.44,0.5542959522766306
6.45,0.5543227716379268
6.46,0.5543605009584285
6.47,0.5544090188495469
6.48,0.554468205853049
6.49,0.5545379443959928
6.5,0.5546181187467069
6.51,0.5547086149717926
6.52,0.5548093208941234
6.53,0.5549201260518195
6.54,0.5550409216581751
6.55,0.5551716005625164
6.56,0.5553120572119685
6.57,0.5554621876141124
6.58,0.555621889300508
6.59,0.5557910612910687
6.6,0.5559696040592624
6.61,0.5561574194981252
6.62,0.5563544108870658
6.63,0.5565604828594449
6.64,0.5567755413709109
6.65,0.5569994936684757
6.66,0.5572322482603129
6.67,0.5574737148862636
6.68,0.5577238044890321
6.69,0.5579824291860581
6.7,0.5582495022420486
6.71,0.5585249380421557
6.72,0.5588086520657861
6.73,0.5591005608610267
6.74,0.559400582019675
6.75,0.5597086341528593
6.76,0.5600246368672357
6.77,0.5603485107417496
6.78,0.5606801773049501
6.79,0.5610195590128428
6.8,0.5613665792272716
6.81,0.5617211621948169
6.82,0.5620832330261984
6.83,0.5624527176761724
6.84,0.5628295429239124
6.85,0.5632136363538623
6.86,0.5636049263370525
6.87,0.5640033420128681
6.88,0.5644088132712598
6.89,0.5648212707353885
6.9,0.5652406457446925
6.91,0.5656668703383706
6.92,0.5660998772392701
6.93,0.5665395998381717
6.94,0.5669859721784629
6.95,0.567438928941192
6.96,0.567898405430493
6.97,0.5683643375593755
6.98,0.56883666183587
6.99,0.569315315349522
7.0,0.569800235758227
7.01,0.5702913612754001
7.02,0.5707886306574713
7.03,0.571291983191701
7.04,0.5718013586843085
7.05,0.5723166974489063
7.06,0.5728379402952354
7.07,0.5733650285181922
7.08,0.5738979038871438
7.09,0.5744365086355244
