fixed_sym_D=0.4,fixed_asym_D=0.4
14.533901288805062,12.837043437015598
14.689107277526068,12.952820684798217
14.846313222386224,13.06960175880664
15.005570947200724,13.187409726819551
15.166933675185094,13.306268236096841
15.330456059652368,13.42620152952512
15.4961942142323,13.547234462119432
15.664205742462276,13.669392517879523
15.834549766584171,13.792701826997739
16.00728695536445,13.917189183414338
16.182479550737025,14.042882062714444
16.360191393049135,14.169808640359227
16.540487944669938,14.297997810242046
16.723436311699825,14.427479203558258
16.909105263495224,14.558283207975151
17.097565249699148,14.690440987086047
17.288888414441928,14.823984500129876
17.48314860734924,14.958946521954635
17.680421390966107,15.095360663199898
17.880784044175634,15.233261390670064
18.08431556116031,15.37268404786621
18.291096645421565,15.513664875640263
18.501209698340222,15.656241032930728
18.714738801726657,15.80045061753431
18.93176969377493,15.946332686862506
