fixed_sym_D=0.4,fixed_asym_D=0.4
246.95268106028044,177.50567950550857
251.3981238082059,179.98188728703013
255.94864777236205,182.5042127235512
260.6073473902782,185.07390708901107
265.37740126726004,187.69225727113994
270.26207314619376,190.3605867654582
275.2647127249496,193.08025668526665
280.3887563004072,195.85266678654617
285.63772721633853,198.67925650650986
291.0152360905,201.56150601435792
296.52498079430035,204.50093727257564
302.17074615633743,207.49911510688477
307.9564033589315,210.55764828270765
313.8859089945316,213.67819058573048
319.96330374655184,216.86244190385563
326.1927106568043,220.11214930750947
332.57833293925955,223.42910812492377
339.12445129739484,226.8151630086293
345.8354206999066,230.27220898899202
352.7156665670908,233.80219251018013
359.7696803177637,237.40711244347483
367.0020142242339,241.0890210723258
374.4172755205896,244.85002504300223
382.0201197074704,248.69228627410126
389.8152429946041,252.6180228175439
