evolving_sym_D_0.4_ooo,evolving_asym_D_0.4_oob,evolving_asym_D_0.4_obb,evolving_sym_D_0.4_bbb
694.558125049413,686.2108662542015,635.37580521727,604.7641700852178
704.2394845094364,695.4618357873295,643.0203091142333,610.7449424773608
714.0823897704951,704.8595723954224,650.7873005017633,616.7857525712029
724.0879567616317,714.4049112356236,658.6775340505858,622.885941242005
734.2573330562059,724.0987169397324,666.6917907939624,629.0448603257627
744.5916975851505,733.9418832853148,674.8308777470428,635.261872155529
755.0922604252926,743.9353329372842,683.0956275801656,641.5363491436393
765.7602626598922,754.0800172568523,691.4868983437216,647.8676734066956
776.596976308804,764.3769161750042,700.0055732424021,654.2552364303808
787.6037043258904,774.8270381278868,708.6525604568383,660.6984387713733
798.7817806615277,785.4314200517132,717.4287930108105,667.1966897938164
810.1325703882371,796.1911274349844,726.3352286823634,673.7494074379617
821.6574698876467,807.107254426008,735.3728499573072,680.3560180187606
833.3579070971556,818.1809239938633,744.5426640237179,687.0159560523209
845.2353418148199,829.4132881411148,753.8457028061722,693.728664108277
857.2912660611174,840.805528166719,763.2830230385657,700.4935926862395
869.5272044963788,852.3588549777007,772.8557063744666,707.3102001146078
881.9447148927891,864.0745094482992,782.5648595340565,714.1779524701296
894.545388659977,875.953762825397,792.4116144867958,721.0963235166886
907.330851423311,887.9979171791524,802.3971286690393,728.0647946618922
920.3027636541192,900.2083058978543,812.5225852359015,735.0828549301159
933.4628213511426,912.586294226114,822.7891933467469,742.1500009507361
946.8127567726108,925.1332798455936,833.1981884837455,749.2657369603598
960.354339218422,937.8506934975568,843.750832803002,756.4295748179273
974.0893758619728,950.739999646604,854.4484155178222,763.6410340316262
988.0197126312672,963.8026971850268,865.2922533137408,770.8996417966181
1002.1472351389996,977.0403201772938,876.2836907949869,778.2049330426365
1016.4738696613724,990.45443864424,887.424100962113,785.5564504905641
1031.0015841654813,1004.0466593866024,898.7148857205652,792.9537447171534
1045.732389385153,1017.818626847606,910.1574764200144,800.3963742270994
1060.6683399451945,1031.7720240143583,921.753334424316,807.8839055317173
1075.8115355340583,1045.9085733578847,933.503951712005,815.415913233526
1091.164122125002,1060.2300378116731,945.410851507278,822.9919801160718
1106.7282932458645,1074.7382217886698,957.4755889414496,830.6116972383722
1122.5062912976475,1089.4349722367124,969.6997517449128,838.2746640333919
1138.5004089221447,1104.3221797324438,982.0849609696652,845.9804884099988
1154.712990418913,1119.4017796138023,994.6328717425068,853.7287868578844
1171.1464332119483,1134.6757531512346,1007.3451740490462,861.5191845549606
1187.8031893664688,1150.1461287578302,1020.2235935486868,869.3513154767766
1204.6857671562802,1165.8149832386323,1033.2698924208037,877.224822507531
1221.7967326822454,1181.6844430794215,1046.4858702423542,885.1393575522789
1239.138711542443,1197.7566857753295,1059.8733648971993,893.0945816499606
1256.7143905546566,1214.0339411996886,1073.434253517448,901.0901650869079
1274.526519531898,1230.518493013568,1087.1704534571736,909.125787510502
1292.577913111725,1247.212680116517,1101.0839232988803,917.2011380426858
1310.8714526401786,1264.118898139065,1115.17666389314,925.3159153930525
1329.410088111231,1281.2396009776044,1129.450719431847,933.4698279712566
1348.1968401626896,1298.5773023723148,1143.9081785555811,941.6625939985103
1367.2348021295809,1316.1345775288653,1158.551175495602,949.8939416179522
1386.5271421561004,1333.914064784664,1173.3818912510274,958.1636090036908
1406.0771053672804,1351.918467320496,1188.4025548018053,966.4713444683443
1425.8880161016057,1370.1505549184462,1203.6154443581004,974.8169065689187
1445.9632802058766,1388.6131657670542,1219.0228886467764,983.2000642108765
1466.306387393694,1407.3092083147212,1234.6272682356846,991.6205967502708
1486.920913669021,1426.2416631724393,1250.431016896509,1000.0782940938313
1507.8105238163528,1445.413585066982,1266.4366230069656,1008.572956796904
1528.978973959109,1464.8281048457582,1282.646630993189,1017.1043961591607
1550.4301141879498,1484.4884315345962,1299.063642813187,1025.6724343180088
1572.1678912607993,1504.397854449794,1315.690319482285,1034.2769043396422
1594.1963513764545,1524.559745365838,1332.529382641536,1042.91765030769
1616.519643023747,1544.9775607402678,1349.5836161701036,1051.5945274094283
1639.1420199083211,1565.6548439972307,1366.85586784269,1060.3074020195313
1662.0678439591898,1586.595227871353,1384.3490510331233,1069.0561517813553
1685.301588417332,1607.8024368136234,1402.0661464652642,1077.8406656857471
1708.8478410086984,1629.2802894610677,1420.0102040124596,1086.660844147392
1732.7113072041002,1651.0327011720713,1438.184344546808,1095.5165990787136
1756.8968135685657,1673.0636866292984,1456.5917618395724,1104.407853961355
1781.4093112028677,1695.3773625122246,1475.2357245141247,1113.3345439152743
1806.253879280037,1717.977950241408,1494.1195780528683,1122.296615765499
1831.435728679804,1740.8697787966998,1513.2467468596496,1131.294028106587
1856.9602057240293,1764.057287611696,1532.620736379229,1140.3267513648523
1882.8327960163333,1787.5450295468238,1552.245135275448,1149.3947678584202
