D=0.0 mm/w,D=0.1 mm/w,D=0.2 mm/w,D=0.3 mm/w,D=0.4 mm/w,D=0.5 mm/w,D=0.6 mm/w,D=0.7 mm/w,D=0.8 mm/w,D=0.9 mm/w,D=1.0 mm/w
87245.36226835042,85851.24700955328,79195.5598182571,72670.01789460171,67943.23209277178,64449.597257763904,61705.18344253745,59468.73597632663,57616.10170487244,56070.69735638821,54777.27751920804
86872.96876361151,85453.53488319006,78792.83108768922,72290.63680246015,67583.86115909136,64103.36860199849,61368.44536042743,59139.94656642876,57294.52773802805,55755.82132251527,54468.607597512804
86500.07910906157,85055.9718055353,78391.28183475904,71912.75363242121,67226.05211913778,63758.74926614496,61033.37457299658,58812.878620661206,56974.71620579885,55442.73380402093,54161.73940582355
86126.76390070771,84658.61514616912,77990.93844668167,71536.37930480375,66869.8103931313,63415.74197239638,60699.97161614419,58487.53066014375,56656.66385794422,55131.4300838704,53856.667063787805
85753.09156206444,84261.520356791,77591.8262266569,71161.52416204725,66515.14102075646,63074.34914170424,60368.23677199698,58163.90099291878,56340.36726899168,54821.90530389171,53553.384579336656
85379.12840103003,83864.74102551676,77193.9694273717,70788.19798653682,66162.04867230251,62734.5729024196,60038.17007645372,57841.98772074646,56025.822844334354,54514.15447019183,53251.88585346179
85004.9386655832,83468.32892981522,76797.39128350615,70416.41001789409,65810.53765949437,62396.4150987103,59709.771326536014,57521.788745719605,55713.026826159046,54208.17245841504,52952.16468484734
84630.58459830075,83072.33408810534,76402.11404327057,70046.16896975054,65460.61194602313,62059.87729875976,59383.04008754998,57203.30177670293,55401.97529920937,53903.95401884799,52654.214774360735
84256.12648969899,82676.80481003487,76008.158999001,69677.48304601862,65112.27515778448,61724.960802753136,59057.97570006369,56886.524335601,55092.66419638833,53601.49378137568,52358.02972940666
83881.6227304042,82281.7877454629,75615.54651683944,69310.35995667611,64765.530592833406,61391.66665065623,58734.57728670469,56571.4537634593,54785.08930420465,53300.786260292574,52063.60306814816
83507.12986215863,81887.32793216896,75224.29606552517,68944.80693307836,64420.38123106314,61059.99562979255,58412.843758782335,56258.08722640263,54479.24626806695,53001.82585897282,51770.92822359861
83132.70262767073,81493.46884231195,74834.42624432208,68580.83074281276,64076.82974361633,60729.94828222377,58092.773822739095,55946.42172141502,54175.130597429845,52704.60687440355,51479.99854758852
82758.39401931956,81100.25242766259,74445.95481010733,68218.43770410938,63734.87850203584,60401.52491193856,57774.36598643522,55636.45408196509,53872.73767079595,52409.12350158509,51190.807314610596
82384.25532672468,80707.71916363345,74058.8987036451,67857.63369982126,63394.52958716272,60074.7255918548,57457.618565270895,55328.18098348101,53572.06274057758,52115.36983780179,50903.34772554679
82010.33618319411,80315.90809213073,73673.27407506928,67498.42419098738,63055.784797788365,59749.55017064002,57142.52968814992,55021.59894867866,53273.100937822,51823.33988676709,50617.61291128067
81636.68461106384,79924.85686325245,73289.09630859815,67140.814229991,62718.64565906792,59425.99827935469,56829.09730328892,54716.704352746965,52975.8472768037,51533.02756264644,50333.5959361985
81263.34706594361,79534.60177585723,72906.38004650344,66784.8084733257,62383.113430701625,59104.06933792305,56517.31918387597,54413.49342839397,52680.29665948754,51244.426693961286,50051.289801582294
80890.36847988416,79145.17781702855,72525.13921235564,66430.41119398111,62049.18911489072,58783.76256143585,56207.19293358242,54111.962270757234,52386.4438798659,50957.53102737779,49770.68744889795
80517.79230348209,78756.61870045903,72145.387033567,66077.62629345969,61716.87346407418,58465.076966289336,55898.71599193149,53812.10684218206,52094.28362817354,50672.33423138315,49491.7817629816
80145.66054693912,78368.95690377885,71767.13606325291,65726.45731343594,61386.16698845253,58148.01137616485,55591.88563952743,53513.922976871,51803.81049498321,50388.82989985304,49214.56557512705
79774.01382009288,77982.22370485318,71390.39820143182,65376.9074470689,61057.06996330478,57832.56442785301,55286.69900314867,53217.40638540787,51515.0189751854,50107.01155551293,48939.03166607739
79402.8913714369,77596.44921707254,71015.18471558356,65028.9795499784,60729.5824361042,57518.73457692655,54983.15306070836,52922.55265915962,51227.90347185524,49826.87265329654,48665.17276892331
79032.33112614801,77211.66242366002,70641.50626058498,64682.67615089528,60403.70423343875,57206.52010326581,54681.244646085615,52629.35727455912,50942.45830000971,49548.40658360408,48392.98157191112
78662.36972313936,76827.89121101939,70269.37289804177,64337.999461995634,60079.43496774145,56895.9191164406,54380.97045383095,52337.81559727203,50658.67769025796,49271.606675463336,48122.450721162975
78293.04255115768,76445.16240114752,69898.79411503427,63994.95138892836,59756.774043836274,56586.929560952165,54082.3270437488,52047.92288625074,50376.55579234779,48996.46619959618,47853.57282331185
77924.38378394357,76063.50178313421,69529.77884229523,63653.5335405457,59435.72066530459,56279.54922133891,53785.31084536036,51759.67429767828,50096.08667861105,48722.97837139322,47586.34044805392
77556.42641447375,75682.93414377257,69162.33547183631,63313.747238345466,59116.2738406772,55973.77572714941,53489.91816224995,51473.064888805,49817.26434731064,48451.13635379924,47320.74613062057
77189.20228830409,75303.48329730234,68796.47187404011,62975.59352563387,58798.43238945695,55669.6065577861,53196.145176297454,51188.08962168104,49540.082725891865,48180.93326011188,47056.78237417261
