"H_i=0.0, C_i=4.0, M_i=400.0, N_i=100.0, D_i=0.0, R_i=0.0","H_i=200.0, C_i=10.0, M_i=5000.0, N_i=59.0, D_i=1.0, R_i=40.0"
2483.253623529787,26294.46570859412
2517.997633980324,26599.10309519683
2553.2550223714657,26906.295171537167
2589.035837076221,27216.012834592566
2625.350400190336,27528.224983846772
2662.209315491348,27842.898499601863
2699.6234766467014,28159.998223418075
2737.604075679644,28479.486940780494
2776.162611701925,28801.325366089175
2815.310899922639,29125.47213006648
2855.061080942849,29451.88376967215
2895.4256303459947,29780.514720613086
2936.41736859437,30111.31731253074
2978.049471242357,30444.24176694472
3020.335479477405,30779.236198026447
3063.289311000145,31116.246616271535
3106.9252712553707,31455.216935134198
3151.258065026015,31796.088980681023
3196.302808402625,32138.802504315445
3242.075041141241,32483.295198617667
3288.5907394229853,32829.50271633803
3335.866329029076,33177.35869257481
3383.918698945399,33526.794770160006
3432.7652154111934,33877.740628269225
3482.423736426847,34230.1240142639
3532.912626736215,34583.870778766075
3584.250773299336,34938.90491395799
3636.457601271851,35295.14859509021
3689.553090507891,35652.52222517388
3743.5577926036326,36010.94448282388
3798.492848499197,36370.33237321161
3854.380006656992,36730.601282077114
3911.241641835068,37091.66503274203
3969.100774474492,37453.435946056314
4027.981090720185,37815.82490320326
4087.906963095106,38178.74141127912
4148.903471848084,38542.09367155544
4210.996426996004,38905.78865032439
4274.212391081451,39269.73215221962
4338.578702667303,39633.82889589763
4404.123500590084,39997.9825919576
4470.875748994241,40362.09602297063
4538.865263169798,40726.071125482944
4608.122736216087,41089.8090738513
4678.679766554484,41453.21036576333
4750.568886313236,41816.174909289955
4823.823590607611,42178.60211131235
4898.478367738606,42540.390967161424
4974.568730333504,42901.440151303956
5052.131247451419,43261.64810890604
5131.203577676853,43620.913148101725
5211.824503223967,43979.133532792344
5294.033965073948,44336.20757580028
5377.873099167324,44692.03373219971
5463.384273672475,45046.51069264616
5550.61112735084,45399.537476526806
5639.598609038365,45751.01352475366
5730.39301826168,46100.838792023125
5823.042047006178,46448.913838366854
5917.594822651708,46795.13991982108
6014.101952089824,47139.419078044295
6112.615567034615,47481.6542287165
6213.189370536855,47821.749248556785
6315.878684708665,48159.60906080062
6420.740499663061,48495.139718982646
6527.833523669471,48828.2484888762
6637.218234522762,49158.843928446324
6748.956932119271,49486.835965679194
6863.113792228884,49812.13597415711
6979.75492144725,50134.65684625517
7098.948413306781,50454.3130638429
7220.764405518999,50771.02076638114
7345.275138314245,51084.69781631261
7472.555013837399,51395.26386165212
7602.680656550353,51702.64039569049
7735.730974583219,52006.750813734594
7871.787221966766,52307.520466814145
8010.933061668211,52604.876712294244
8153.254629341232,52898.748961341254
8298.84059768886,53189.068723198005
8447.782241324674,53475.769646232744
8600.17350200341,53758.78755573478
8756.111054076682,54038.06048843793
8915.694370012869,54313.528723761294
9079.025785802349,54585.13481176481
9246.210566050073,54852.82359782497
9417.35696853696,55116.54224404394
9592.576308009524,55376.240247412614
9771.983018933835,55631.86945475553
9955.694716924863,55883.38407449258
10143.832258535753,56130.740685259014
10336.519799063506,56373.89824143188
10533.884847997777,56612.81807561688
10736.058321708137,56847.4638981556
10943.174592932186,57077.80179371841
11155.371536592238,57303.80021505345
